Event,Place,Entry,Lane,Time,Margin
"#40 29 Mens Collegiate Novice Heat 1 Top 3 to Final 1, Remainder to Final 2 (12:39:00) Official",2,Loyola Marymount,2,07:11.966,21.702
"#40 29 Mens Collegiate Novice Heat 1 Top 3 to Final 1, Remainder to Final 2 (12:39:00) Official",3,UC Santa Barbara,3,07:15.124,24.860
"#40 29 Mens Collegiate Novice Heat 1 Top 3 to Final 1, Remainder to Final 2 (12:39:00) Official",4,Long Beach St,4,07:19.978,29.714
"#40 29 Mens Collegiate Novice Heat 1 Top 3 to Final 1, Remainder to Final 2 (12:39:00) Official",5,SDSU - Men,5,07:26.289,36.025
#41 29 Mens Collegiate Novice Heat 2 (12:47:00) Official,1,UCLA,1,06:43.374,
#41 29 Mens Collegiate Novice Heat 2 (12:47:00) Official,2,"Southern California (Labounko, T.) ",3,06:48.678,05.304
#41 29 Mens Collegiate Novice Heat 2 (12:47:00) Official,3,U of Calgary RC,2,06:55.541,12.167
#41 29 Mens Collegiate Novice Heat 2 (12:47:00) Official,4,"UC Davis (Mohamad Khani, A.) ",4,06:58.674,15.300
#41 29 Mens Collegiate Novice Heat 2 (12:47:00) Official,5,Colorado,5,07:36.232,52.858
#42 25/46/58 Adaptive M/W/MX 2x (13:32:00) Official,1,"Casitas Rowing (Salcedo Power, A.) ",3,08:55.531,
#42 25/46/58 Adaptive M/W/MX 2x (13:32:00) Official,2,"Athletes Without Limits (Boldt, J.) ",2,09:08.219,12.688
#42 25/46/58 Adaptive M/W/MX 2x (13:32:00) Official,3,"Athletes Without Limits (Ourada, L.) ",1,09:50.769,55.238
#42 25/46/58 Adaptive M/W/MX 2x (13:32:00) Official,4,"Endeavor Racing Alliance (Jewell, E.) ",6,10:02.581,01:07.050
#42 25/46/58 Adaptive M/W/MX 2x (13:32:00) Official,5,"Athletes Without Limits (Hurley, P.) ",5,10:54.327,01:58.796
#42 25/46/58 Adaptive M/W/MX 2x (13:32:00) Official,6,"Atlanta (Barbee, W.) ",4,12:14.317,03:18.786
#43 M/W/MX PR 8+ Final 1 (13:44:00) Official,1,"Athletes Without LimitsCRI (Delsordo, A.) ",2,07:27.760,
#43 M/W/MX PR 8+ Final 1 (13:44:00) Official,2,"Freedom Rows/USRowing/Detroit BC/Atlanta/OKC Riversport (Campbell, R.) ",1,08:59.340,01:31.580
#43 M/W/MX PR 8+ Final 1 (13:44:00) Official,3,"Freedom Rows/USRowing/San Diego RC/OKC Riversport (Cao, K.) ",3,09:42.260,02:14.500
"#44 3 Mens Masters 8+ Club Heat 1 1-4 to Final 1, Remainder to Final 2 (14:00:00) Official",1,"Cambridge (Pierce, J.) ",1,06:57.886,06:11.686 HC(age:61 -00:46.200),
"#44 3 Mens Masters 8+ Club Heat 1 1-4 to Final 1, Remainder to Final 2 (14:00:00) Official",2,"San Diego (Kapicka, M.) ",5,07:11.570,06:27.970 HC(age:60 -00:43.600),16.284
"#44 3 Mens Masters 8+ Club Heat 1 1-4 to Final 1, Remainder to Final 2 (14:00:00) Official",3,"Sammamish (Senenko, W.) ",3,06:50.290,06:30.890 HC(age:49 -00:19.400),19.204
"#44 3 Mens Masters 8+ Club Heat 1 1-4 to Final 1, Remainder to Final 2 (14:00:00) Official",4,Riverside,6,06:31.555,19.869,
"#44 3 Mens Masters 8+ Club Heat 1 1-4 to Final 1, Remainder to Final 2 (14:00:00) Official",5,"Crimson Death Barge (Caughey, T.) ",4,07:01.813,06:38.813 HC(age:51 -00:23.000),27.127
"#44 3 Mens Masters 8+ Club Heat 1 1-4 to Final 1, Remainder to Final 2 (14:00:00) Official",6,"Potomac (Merchant, W.) ",2,06:48.360,36.674,
"#44 3 Mens Masters 8+ Club Heat 1 1-4 to Final 1, Remainder to Final 2 (14:00:00) Official",7,"Potomac (DeLo, C.) ",8,07:00.323,06:51.323 HC(age:42 -00:09.000),39.637
"#44 3 Mens Masters 8+ Club Heat 1 1-4 to Final 1, Remainder to Final 2 (14:00:00) Official",8,BIAC,7,06:59.030,47.344,
#45 3 Mens Masters 8+ Club Heat 2 (14:08:00) Official,1,"Marin (Aguiar, M.) ",5,06:49.182,06:13.182 HC(age:57 -00:36.000),
#45 3 Mens Masters 8+ Club Heat 2 (14:08:00) Official,2,"Rocky Mountain (Springer, G.) ",2,07:09.602,06:20.602 HC(age:62 -00:49.000),07.420
#45 3 Mens Masters 8+ Club Heat 2 (14:08:00) Official,3,"North Dakota (McCabe, C.) ",6,06:45.652,06:22.652 HC(age:51 -00:23.000),09.470
#45 3 Mens Masters 8+ Club Heat 2 (14:08:00) Official,4,"East Bay (Scott, H.) ",3,06:32.538,06:27.738 HC(age:38 -00:04.800),14.556
#45 3 Mens Masters 8+ Club Heat 2 (14:08:00) Official,5,Texas RC,1,06:45.735,06:31.335 HC(age:46 -00:14.400),18.153
#45 3 Mens Masters 8+ Club Heat 2 (14:08:00) Official,6,"Lake Union (Tan, A.) ",4,06:35.398,06:34.798 HC(age:31 -00:00.600),21.616
#45 3 Mens Masters 8+ Club Heat 2 (14:08:00) Official,7,Riverside,8,06:39.872,26.690,
#45 3 Mens Masters 8+ Club Heat 2 (14:08:00) Official,8,"Station L (Glasfeld, A.) ",7,07:05.542,06:40.542 HC(age:52 -00:25.000),27.360
"#46 30 Womens Masters 8+ Club Heat 1 1-3 to Final 1, NFT (4th) to Final 1; Remainder to Final 2 (14:16:00) Official",1,Long Beach,3,07:20.091,06:58.891 HC(age:50 -00:21.200)
"#46 30 Womens Masters 8+ Club Heat 1 1-3 to Final 1, NFT (4th) to Final 1; Remainder to Final 2 (14:16:00) Official",2,Sarasota,6,07:26.068,06:59.068 HC(age:53 -00:27.000),00.177
"#46 30 Womens Masters 8+ Club Heat 1 1-3 to Final 1, NFT (4th) to Final 1; Remainder to Final 2 (14:16:00) Official",3,"College Club Seattle (Scull, C.) ",1,07:28.224,07:07.024 HC(age:50 -00:21.200),08.133
"#46 30 Womens Masters 8+ Club Heat 1 1-3 to Final 1, NFT (4th) to Final 1; Remainder to Final 2 (14:16:00) Official",4,Martha's Moms,2,07:43.734,07:07.734 HC(age:57 -00:36.000),08.843
"#46 30 Womens Masters 8+ Club Heat 1 1-3 to Final 1, NFT (4th) to Final 1; Remainder to Final 2 (14:16:00) Official",5,BIAC,4,07:43.624,07:22.424 HC(age:50 -00:21.200),23.533
"#46 30 Womens Masters 8+ Club Heat 1 1-3 to Final 1, NFT (4th) to Final 1; Remainder to Final 2 (14:16:00) Official",6,"Station L (Walker, S.) ",5,07:45.054,07:23.854 HC(age:50 -00:21.200),24.963
"#46 30 Womens Masters 8+ Club Heat 1 1-3 to Final 1, NFT (4th) to Final 1; Remainder to Final 2 (14:16:00) Official",7,Martha's Moms,7,08:43.408,07:36.208 HC(age:68 -01:07.200),37.317
#47 30 Womens Masters 8+ Club Heat 2 (14:24:00) Official,1,"Sammamish (Teschke, J.) ",1,07:28.587,07:14.187 HC(age:46 -00:14.400)
#47 30 Womens Masters 8+ Club Heat 2 (14:24:00) Official,2,Texas RC,3,07:18.322,07:14.322 HC(age:37 -00:04.000),00.135
#47 30 Womens Masters 8+ Club Heat 2 (14:24:00) Official,3,"Rogue Rowing (Rimov, C.) ",5,07:56.091,07:26.891 HC(age:54 -00:29.200),12.704
#47 30 Womens Masters 8+ Club Heat 2 (14:24:00) Official,4,"Sammamish (Kovaly, J.) ",6,08:07.937,07:29.537 HC(age:58 -00:38.400),15.350
#47 30 Womens Masters 8+ Club Heat 2 (14:24:00) Official,5,"Vancouver (Riley, P.) ",4,07:45.552,07:38.752 HC(age:40 -00:06.800),24.565
#47 30 Womens Masters 8+ Club Heat 2 (14:24:00) Official,6,"Lake Union (Werner, J.) ",2,08:01.191,08:00.191 HC(age:32 -00:01.000),46.004
#48 17 Womens Open 8+ Heat 1 All to Final (14:32:00) Official,1,Texas Austin,3,06:41.124,
#48 17 Womens Open 8+ Heat 1 All to Final (14:32:00) Official,2,California,2,06:47.987,06.863
#48 17 Womens Open 8+ Heat 1 All to Final (14:32:00) Official,3,"Washington (Adebiyi, A.) ",1,06:54.267,13.143
#48 17 Womens Open 8+ Heat 1 All to Final (14:32:00) Official,4,Baja California St,5,07:02.144,21.020
#48 17 Womens Open 8+ Heat 1 All to Final (14:32:00) Official,5,USC,7,07:08.887,27.763
#48 17 Womens Open 8+ Heat 1 All to Final (14:32:00) Official,6,U of Calgary RC,4,07:19.201,38.077
#48 17 Womens Open 8+ Heat 1 All to Final (14:32:00) Official,7,Bates,6,07:36.901,55.777
#49 24 Mens Open 8+ Heat 1 All to Final (14:40:00) Official,1,Baja California St,1,06:13.317,
#49 24 Mens Open 8+ Heat 1 All to Final (14:40:00) Official,2,Butte,4,06:20.827,07.510
#49 24 Mens Open 8+ Heat 1 All to Final (14:40:00) Official,3,Long Beach St,3,06:28.644,15.327
#49 24 Mens Open 8+ Heat 1 All to Final (14:40:00) Official,4,U of Calgary RC,2,06:31.034,17.717
"#50 Womens Youth Gilman-Mulliken Cup Heat 1 Top 2 To Final 1,  3-4 to Final 2, 5-6 to Final 3 (14:48:00) Official",1,Connecticut,2,07:00.010,
"#50 Womens Youth Gilman-Mulliken Cup Heat 1 Top 2 To Final 1,  3-4 to Final 2, 5-6 to Final 3 (14:48:00) Official",2,San Diego RC,1,07:00.287,00.277
"#50 Womens Youth Gilman-Mulliken Cup Heat 1 Top 2 To Final 1,  3-4 to Final 2, 5-6 to Final 3 (14:48:00) Official",3,Long Beach Junior Crew,3,07:12.300,12.290
"#50 Womens Youth Gilman-Mulliken Cup Heat 1 Top 2 To Final 1,  3-4 to Final 2, 5-6 to Final 3 (14:48:00) Official",4,"Dallas United (Rodriguez, E.) ",5,07:12.697,12.687
"#50 Womens Youth Gilman-Mulliken Cup Heat 1 Top 2 To Final 1,  3-4 to Final 2, 5-6 to Final 3 (14:48:00) Official",5,Texas RC,4,07:19.647,19.637
"#50 Womens Youth Gilman-Mulliken Cup Heat 1 Top 2 To Final 1,  3-4 to Final 2, 5-6 to Final 3 (14:48:00) Official",6,ZLAC,6,07:50.158,50.148
#51 Womens Youth Gilman-Mulliken Cup Heat 2 (14:56:00) Official,1,"Marin (Lermusiaux, J.) ",1,06:41.505,
#51 Womens Youth Gilman-Mulliken Cup Heat 2 (14:56:00) Official,2,Capital,2,06:54.450,12.945
#51 Womens Youth Gilman-Mulliken Cup Heat 2 (14:56:00) Official,3,Norcal Crew,3,06:57.856,16.351
#51 Womens Youth Gilman-Mulliken Cup Heat 2 (14:56:00) Official,4,Pacific,4,07:09.614,28.109
#51 Womens Youth Gilman-Mulliken Cup Heat 2 (14:56:00) Official,5,River City,5,07:15.096,33.591
#51 Womens Youth Gilman-Mulliken Cup Heat 2 (14:56:00) Official,6,"CCHS Crew (Ewart, C.) ",6,07:50.321,01:08.816
#52 Womens Youth Gilman-Mulliken Cup Heat 3 (15:04:00) Official,1,Newport,1,06:43.723,
#52 Womens Youth Gilman-Mulliken Cup Heat 3 (15:04:00) Official,2,Saugatuck,2,06:47.837,04.114
#52 Womens Youth Gilman-Mulliken Cup Heat 3 (15:04:00) Official,3,Marina Aquatic Center,4,07:03.037,19.314
#52 Womens Youth Gilman-Mulliken Cup Heat 3 (15:04:00) Official,4,Sammamish,3,07:06.040,22.317
#52 Womens Youth Gilman-Mulliken Cup Heat 3 (15:04:00) Official,5,"Saint Ignatius (Visser, G.) ",6,07:15.000,31.277
#52 Womens Youth Gilman-Mulliken Cup Heat 3 (15:04:00) Official,6,"White Rock Rowing (Fox, E.) ",5,07:20.507,36.784
"#53 Mens Youth San Diego Rowing Cup Heat 1 Top 2 To Final 1, 3-4 to Final 2, 5-6 to Final 3 (15:12:00) Official",1,Saugatuck,2,06:05.901,
"#53 Mens Youth San Diego Rowing Cup Heat 1 Top 2 To Final 1, 3-4 to Final 2, 5-6 to Final 3 (15:12:00) Official",2,San Diego RC,1,06:08.431,02.530
"#53 Mens Youth San Diego Rowing Cup Heat 1 Top 2 To Final 1, 3-4 to Final 2, 5-6 to Final 3 (15:12:00) Official",3,OARS,3,06:11.688,05.787
"#53 Mens Youth San Diego Rowing Cup Heat 1 Top 2 To Final 1, 3-4 to Final 2, 5-6 to Final 3 (15:12:00) Official",4,Dallas United Crew,4,06:24.428,18.527
"#53 Mens Youth San Diego Rowing Cup Heat 1 Top 2 To Final 1, 3-4 to Final 2, 5-6 to Final 3 (15:12:00) Official",5,Saint Ignatius,5,06:32.888,26.987
#54 Mens Youth San Diego Rowing Cup Heat 2 (15:20:00) Official,1,"Marin (Sutherland, K.) ",1,06:08.656,
#54 Mens Youth San Diego Rowing Cup Heat 2 (15:20:00) Official,2,Norcal Crew,2,06:11.842,03.186
#54 Mens Youth San Diego Rowing Cup Heat 2 (15:20:00) Official,3,"Long Beach Junior Crew (Hutton, R.) ",3,06:20.279,11.623
#54 Mens Youth San Diego Rowing Cup Heat 2 (15:20:00) Official,4,Marina Aquatic Center,5,06:20.862,12.206
#54 Mens Youth San Diego Rowing Cup Heat 2 (15:20:00) Official,5,Sammamish,4,06:24.266,15.610
#55 Mens Youth San Diego Rowing Cup Heat 3 (15:28:00) Official,1,Newport,1,06:06.446,
#55 Mens Youth San Diego Rowing Cup Heat 3 (15:28:00) Official,2,Maritime RC,3,06:19.488,13.042
#55 Mens Youth San Diego Rowing Cup Heat 3 (15:28:00) Official,3,Capital,2,06:22.194,15.748
#55 Mens Youth San Diego Rowing Cup Heat 3 (15:28:00) Official,4,Pacific,4,06:22.961,16.515
#55 Mens Youth San Diego Rowing Cup Heat 3 (15:28:00) Official,5,"CCHS Crew (Krich, G.) ",5,06:37.454,31.008
"#56 Womens U17 Referee Cup LA84 Foundation Trophy Heat 1 Top 2 To Final 1, 3-4 to Final 2, 5-6 to Final 3 (15:44:00) Official",1,Capital,2,07:09.953,
"#56 Womens U17 Referee Cup LA84 Foundation Trophy Heat 1 Top 2 To Final 1, 3-4 to Final 2, 5-6 to Final 3 (15:44:00) Official",2,"Marin (King, A.) ",1,07:16.020,06.067
"#56 Womens U17 Referee Cup LA84 Foundation Trophy Heat 1 Top 2 To Final 1, 3-4 to Final 2, 5-6 to Final 3 (15:44:00) Official",3,White Rock Rowing,5,07:33.767,23.814
"#56 Womens U17 Referee Cup LA84 Foundation Trophy Heat 1 Top 2 To Final 1, 3-4 to Final 2, 5-6 to Final 3 (15:44:00) Official",4,"Saint Ignatius (Keene, A.) ",4,07:42.992,33.039
"#56 Womens U17 Referee Cup LA84 Foundation Trophy Heat 1 Top 2 To Final 1, 3-4 to Final 2, 5-6 to Final 3 (15:44:00) Official",5,San Diego RC,3,07:49.360,39.407
#57 Womens U17 Referee Cup LA84 Foundation Trophy Heat 2 (15:52:00) Official,1,Long Beach Junior Crew,1,07:09.899,
#57 Womens U17 Referee Cup LA84 Foundation Trophy Heat 2 (15:52:00) Official,2,Pacific,2,07:11.509,01.610
#57 Womens U17 Referee Cup LA84 Foundation Trophy Heat 2 (15:52:00) Official,3,Marina Aquatic Center,3,07:29.121,19.222
#57 Womens U17 Referee Cup LA84 Foundation Trophy Heat 2 (15:52:00) Official,4,"Dallas United A (Bell, V.) ",4,07:51.579,41.680
#58 Womens U17 Referee Cup LA84 Foundation Trophy Heat 3 (16:00:00) Official,1,Newport,1,07:12.254,
#58 Womens U17 Referee Cup LA84 Foundation Trophy Heat 3 (16:00:00) Official,2,Norcal Crew,2,07:14.081,01.827
#58 Womens U17 Referee Cup LA84 Foundation Trophy Heat 3 (16:00:00) Official,3,"Austin (Ueber, I.) ",4,07:23.918,11.664
#58 Womens U17 Referee Cup LA84 Foundation Trophy Heat 3 (16:00:00) Official,4,Casitas Rowing,3,07:41.244,28.990
#58 Womens U17 Referee Cup LA84 Foundation Trophy Heat 3 (16:00:00) Official,5,Dallas United B,5,08:15.793,01:03.539
"#59 Mens U17 Shimano Rowing Dynamics Cup Heat 1 Top 3 to Final 1, Remainder to Final 2 (16:08:00) Official",1,Newport,1,06:35.580,
"#59 Mens U17 Shimano Rowing Dynamics Cup Heat 1 Top 3 to Final 1, Remainder to Final 2 (16:08:00) Official",2,"Marin B (Wilcox, B.) ",2,06:38.637,03.057
"#59 Mens U17 Shimano Rowing Dynamics Cup Heat 1 Top 3 to Final 1, Remainder to Final 2 (16:08:00) Official",3,Norcal Crew,3,06:44.714,09.134
"#59 Mens U17 Shimano Rowing Dynamics Cup Heat 1 Top 3 to Final 1, Remainder to Final 2 (16:08:00) Official",4,Dallas United,4,06:45.917,10.337
"#59 Mens U17 Shimano Rowing Dynamics Cup Heat 1 Top 3 to Final 1, Remainder to Final 2 (16:08:00) Official",5,Casitas Rowing,5,07:17.785,42.205
#60 Mens U17 Shimano Rowing Dynamics Cup Heat 2 (16:16:00) Official,1,"Marin A (Ryan, H.) ",1,06:21.327,
#60 Mens U17 Shimano Rowing Dynamics Cup Heat 2 (16:16:00) Official,2,"Long Beach Junior Crew (Josephbek, C.) ",2,06:35.900,14.573
#60 Mens U17 Shimano Rowing Dynamics Cup Heat 2 (16:16:00) Official,3,San Diego RC,3,06:37.887,16.560
#60 Mens U17 Shimano Rowing Dynamics Cup Heat 2 (16:16:00) Official,4,"CCHS Crew (Wittman, H.) ",5,07:00.292,38.965
#60 Mens U17 Shimano Rowing Dynamics Cup Heat 2 (16:16:00) Official,5,Marina Aquatic Center,4,07:12.148,50.821
"#61 Womens Youth B ZLAC Rowing Club Cup Heat 1 1-3 to Final 1, NFT (4th) to Final 1; Remainder to Final 2 (16:24:00) Official",1,Newport A,2,06:59.475,
"#61 Womens Youth B ZLAC Rowing Club Cup Heat 1 1-3 to Final 1, NFT (4th) to Final 1; Remainder to Final 2 (16:24:00) Official",2,Capital,3,07:13.667,14.192
"#61 Womens Youth B ZLAC Rowing Club Cup Heat 1 1-3 to Final 1, NFT (4th) to Final 1; Remainder to Final 2 (16:24:00) Official",3,Marin B,5,07:16.290,16.815
"#61 Womens Youth B ZLAC Rowing Club Cup Heat 1 1-3 to Final 1, NFT (4th) to Final 1; Remainder to Final 2 (16:24:00) Official",4,San Diego RC,1,07:22.613,23.138
"#61 Womens Youth B ZLAC Rowing Club Cup Heat 1 1-3 to Final 1, NFT (4th) to Final 1; Remainder to Final 2 (16:24:00) Official",5,Sammamish,4,07:26.087,26.612
"#61 Womens Youth B ZLAC Rowing Club Cup Heat 1 1-3 to Final 1, NFT (4th) to Final 1; Remainder to Final 2 (16:24:00) Official",6,River City,6,07:33.627,34.152
"#61 Womens Youth B ZLAC Rowing Club Cup Heat 1 1-3 to Final 1, NFT (4th) to Final 1; Remainder to Final 2 (16:24:00) Official",7,"Saint Ignatius (Riad, D.) ",7,07:40.477,41.002
#62 Womens Youth B ZLAC Rowing Club Cup Heat 2 (16:32:00) Official,1,"Marin A (Holtz, M.) ",1,06:55.782,
#62 Womens Youth B ZLAC Rowing Club Cup Heat 2 (16:32:00) Official,2,Saugatuck,2,07:10.618,14.836
#62 Womens Youth B ZLAC Rowing Club Cup Heat 2 (16:32:00) Official,3,Norcal Crew,3,07:18.338,22.556
#62 Womens Youth B ZLAC Rowing Club Cup Heat 2 (16:32:00) Official,4,Newport B,6,07:23.485,27.703
#62 Womens Youth B ZLAC Rowing Club Cup Heat 2 (16:32:00) Official,5,Marina Aquatic Center,7,07:29.105,33.323
#62 Womens Youth B ZLAC Rowing Club Cup Heat 2 (16:32:00) Official,6,Pacific,5,07:51.155,55.373
#62 Womens Youth B ZLAC Rowing Club Cup Heat 2 (16:32:00) Official,7,Long Beach Junior Crew,4,07:54.108,58.326
"#63 Mens Youth B Jean Jessop Hervey Cup Heat 1 Top 3 to Final 1, Remainder to Final 2 (16:40:00) Official",1,Saugatuck,3,06:22.737,
"#63 Mens Youth B Jean Jessop Hervey Cup Heat 1 Top 3 to Final 1, Remainder to Final 2 (16:40:00) Official",2,San Diego RC,1,06:24.210,01.473
"#63 Mens Youth B Jean Jessop Hervey Cup Heat 1 Top 3 to Final 1, Remainder to Final 2 (16:40:00) Official",3,Norcal Crew,2,06:25.730,02.993
"#63 Mens Youth B Jean Jessop Hervey Cup Heat 1 Top 3 to Final 1, Remainder to Final 2 (16:40:00) Official",4,Newport B,4,06:26.207,03.470
"#63 Mens Youth B Jean Jessop Hervey Cup Heat 1 Top 3 to Final 1, Remainder to Final 2 (16:40:00) Official",5,Newport Sea Base,5,06:39.340,16.603
"#63 Mens Youth B Jean Jessop Hervey Cup Heat 1 Top 3 to Final 1, Remainder to Final 2 (16:40:00) Official",6,Saint Ignatius,6,06:59.137,36.400
#64 Mens Youth B Jean Jessop Hervey Cup Heat 2 (16:48:00) Official,1,"Marin (McMahon, W.) ",1,06:17.698,
#64 Mens Youth B Jean Jessop Hervey Cup Heat 2 (16:48:00) Official,2,Newport A,2,06:20.209,02.511
#64 Mens Youth B Jean Jessop Hervey Cup Heat 2 (16:48:00) Official,3,Sammamish,4,06:35.753,18.055
#64 Mens Youth B Jean Jessop Hervey Cup Heat 2 (16:48:00) Official,4,Pacific,3,06:38.119,20.421
#64 Mens Youth B Jean Jessop Hervey Cup Heat 2 (16:48:00) Official,5,Dallas United,6,06:42.269,24.571
#64 Mens Youth B Jean Jessop Hervey Cup Heat 2 (16:48:00) Official,6,Marina Aquatic Center,5,06:45.924,28.226
#65 Womens Concept2 Youth 4x Final 3 (16:56:00) Official,1,"Redwood Scullers C (Bollyky, G.) ",2,07:44.216,
#65 Womens Concept2 Youth 4x Final 3 (16:56:00) Official,2,"RowLA (Goldstein, E.) ",4,07:46.713,02.497
#65 Womens Concept2 Youth 4x Final 3 (16:56:00) Official,3,Lake Las Vegas,1,08:06.590,22.374
#65 Womens Concept2 Youth 4x Final 3 (16:56:00) Official,4,"Austin (Apostolakis, A.) ",3,08:30.296,46.080
#65 Womens Concept2 Youth 4x Final 3 (16:56:00) Official,5,Community Rowing SD,5,11:02.915,03:18.699
#66 Mens Youth 4x Final 3 (17:04:00) Official,1,Texas RC B,2,07:02.376,
#66 Mens Youth 4x Final 3 (17:04:00) Official,2,"Austin (Miguel, R.) ",3,07:06.516,04.140
#66 Mens Youth 4x Final 3 (17:04:00) Official,3,"River City (Hoernlein, T.) ",1,07:17.276,14.900
#66 Mens Youth 4x Final 3 (17:04:00) Official,4,Lake Las Vegas,4,07:17.879,15.503
#67 Womens Youth Gilman-Mulliken Cup Final 3 (17:12:00) Official,1,"Saint Ignatius (Visser, G.) ",3,07:22.298,
#67 Womens Youth Gilman-Mulliken Cup Final 3 (17:12:00) Official,2,River City,2,07:23.078,00.780
#67 Womens Youth Gilman-Mulliken Cup Final 3 (17:12:00) Official,3,Texas RC,1,07:28.595,06.297
#67 Womens Youth Gilman-Mulliken Cup Final 3 (17:12:00) Official,4,"White Rock Rowing (Fox, E.) ",6,07:38.188,15.890
#67 Womens Youth Gilman-Mulliken Cup Final 3 (17:12:00) Official,5,ZLAC,4,07:53.960,31.662
#67 Womens Youth Gilman-Mulliken Cup Final 3 (17:12:00) Official,6,"CCHS Crew (Ewart, C.) ",5,08:01.020,38.722
#68 Mens Youth San Diego Rowing Cup Final 3 (17:20:00) Official,1,Sammamish,2,06:33.848,
#68 Mens Youth San Diego Rowing Cup Final 3 (17:20:00) Official,2,Saint Ignatius,1,06:36.182,02.334
#68 Mens Youth San Diego Rowing Cup Final 3 (17:20:00) Official,3,"CCHS Crew (Krich, G.) ",3,06:53.398,19.550
#69 Womens U17 Referee Cup LA84 Foundation Trophy Final 3 (17:28:00) Official,1,San Diego RC,1,08:02.733,
#69 Womens U17 Referee Cup LA84 Foundation Trophy Final 3 (17:28:00) Official,2,Dallas United B,2,08:32.693,29.960
"#70 Mens Masters F,G Final 1 (07:15:00) Official",1,"Unaff. (CAN) (F) (Forgeron, M.) ",7,06:37.558,
"#70 Mens Masters F,G Final 1 (07:15:00) Official",2,"Cambridge (F) (Pierce, J.) ",1,06:44.858,07.300
"#70 Mens Masters F,G Final 1 (07:15:00) Official",3,"Long Beach (F) (Bater, B.) ",2,06:58.333,20.775
"#70 Mens Masters F,G Final 1 (07:15:00) Official",4,"Rocky Mountain (F) (Springer, G.) ",3,07:03.484,25.926
"#70 Mens Masters F,G Final 1 (07:15:00) Official",5,"Kent Mitchell (G) (Ives, E.) ",5,07:04.231,26.673
"#70 Mens Masters F,G Final 1 (07:15:00) Official",6,"North Dakota/San Diego (G) (Garcia-May, M.) ",6,07:09.700,32.142
"#70 Mens Masters F,G Final 1 (07:15:00) Official",7,"Texas RC/San Diego RC (G) (Bennett, K.) ",4,07:12.289,34.731
"#71 Womens Masters F,G,H,I Campland on the Bay Trophy (60+) Final 1 (07:23:00) Official",1,"Endeavor Racing Alliance (F) (Friel, H.) ",2,07:38.966,
"#71 Womens Masters F,G,H,I Campland on the Bay Trophy (60+) Final 1 (07:23:00) Official",2,"Long Beach (G) (Malacrida, G.) ",1,07:49.166,10.200
"#71 Womens Masters F,G,H,I Campland on the Bay Trophy (60+) Final 1 (07:23:00) Official",3,Martha's Moms (F),3,07:57.708,18.742
"#71 Womens Masters F,G,H,I Campland on the Bay Trophy (60+) Final 1 (07:23:00) Official",4,"East Bay (F) (Velez, P.) ",5,08:01.082,22.116
"#71 Womens Masters F,G,H,I Campland on the Bay Trophy (60+) Final 1 (07:23:00) Official",5,"Station L (F) (Ey, S.) ",4,08:10.177,31.211
"#71 Womens Masters F,G,H,I Campland on the Bay Trophy (60+) Final 1 (07:23:00) Official",6,"Martha's Moms (G) (Smith, J.) ",7,08:19.873,40.907
"#71 Womens Masters F,G,H,I Campland on the Bay Trophy (60+) Final 1 (07:23:00) Official",7,"San Diego RC (H) (Conn, M.) ",6,08:42.311,01:03.345
#72 Womens Concept2 Youth 4x Final 2 (07:31:00) Official,1,Los Gatos B,1,07:29.792,
#72 Womens Concept2 Youth 4x Final 2 (07:31:00) Official,2,Maritime RC B,5,07:36.139,06.347
#72 Womens Concept2 Youth 4x Final 2 (07:31:00) Official,3,Norcal Crew,2,07:37.823,08.031
#72 Womens Concept2 Youth 4x Final 2 (07:31:00) Official,4,Texas RC,4,07:41.854,12.062
#72 Womens Concept2 Youth 4x Final 2 (07:31:00) Official,5,Casitas Rowing,6,07:49.537,19.745
#72 Womens Concept2 Youth 4x Final 2 (07:31:00) Official,6,Newport Sea Base B,3,07:55.637,25.845
#73 Womens Concept2 Youth 4x Final 1 (07:39:00) Official,1,"Redwood Scullers A (Phipps, C.) ",1,07:07.145,
#73 Womens Concept2 Youth 4x Final 1 (07:39:00) Official,2,Los Gatos A,2,07:13.025,05.880
#73 Womens Concept2 Youth 4x Final 1 (07:39:00) Official,3,Long Beach Junior Crew,5,07:26.445,19.300
#73 Womens Concept2 Youth 4x Final 1 (07:39:00) Official,4,Newport Sea Base A,4,07:28.811,21.666
#73 Womens Concept2 Youth 4x Final 1 (07:39:00) Official,5,"Redwood Scullers B (Ha, A.) ",6,07:29.505,22.360
#73 Womens Concept2 Youth 4x Final 1 (07:39:00) Official,6,Maritime RC A,3,07:29.916,22.771
#74 Mens Youth 4x Final 2 (07:47:00) Official,1,"Redwood Scullers B (Perlroth, A.) ",3,06:43.922,
#74 Mens Youth 4x Final 2 (07:47:00) Official,2,Maritime RC B,6,06:46.666,02.744
#74 Mens Youth 4x Final 2 (07:47:00) Official,3,Casitas Rowing,1,06:46.964,03.042
#74 Mens Youth 4x Final 2 (07:47:00) Official,4,"Los Gatos B (Lasso, A.) ",4,06:47.133,03.211
#74 Mens Youth 4x Final 2 (07:47:00) Official,5,OARS,5,06:48.875,04.953
#74 Mens Youth 4x Final 2 (07:47:00) Official,6,Newport Sea Base B,7,06:58.417,14.495
#74 Mens Youth 4x Final 2 (07:47:00) Official,7,Capital,2,07:06.977,23.055
#75 Mens Youth 4x Final 1 (07:55:00) Official,1,Newport Sea Base A,1,06:21.129,
