sep=,
regatta_code,event_nr,event_code,event_name,event_remarks,round_type_code,round_type_name,distance,race_start_time,race_sequence,entry_name,entry_reference,stroke_name,position,result,status
sdcc,007,"WColl 4+ B entries","Womens Collegiate 4+ B entries",WATER,"1500m outbound","1500m outbound leg",1500m,01:00,,"University of San Diego",6832/entries/36,"Hirchag, Madison",1,06:17.8,official
sdcc,092,"MHS Varsity 8","Mens High School Varsity 8","ERG San Diego Rowing Cup",2000m,"2000 meter",2000m,12:20,13,"San Diego Rowing Club",6832/entries/102,"Hankee, Matthew",1,06:47.5,official
sdcc,092,"MHS Varsity 8","Mens High School Varsity 8","ERG San Diego Rowing Cup",2000m,"2000 meter",2000m,12:20,13,"Lakeside School",6832/entries/239,"Jaff, Arin",2,07:11.1,official
sdcc,109,"MM Club Champ 8","Mens Masters Club Championship 8",ERG,2000m,"2000 meter",2000m,14:40,20,"The RowHouse SB Club",6832/entries/206,"Ziegast, Eric",1,07:55.0,official
sdcc,112,"MMC 8","Mens Masters C (43-49) 8","ERG Coach Del Beekley Volunteer Cup",2000m,"2000 meter",2000m,12:00,12,"San Diego Rowing Club",6832/entries/159,"Bolitho, Glynn",1,07:09.5,official
sdcc,112,"MMC 8","Mens Masters C (43-49) 8","ERG Coach Del Beekley Volunteer Cup",2000m,"2000 meter",2000m,11:00,9,"Club Deportivo de Puerto Sajonia",6832/entries/233,"Vallejos, Oscar",2,07:39.1,official
sdcc,112,"MMC 8","Mens Masters C (43-49) 8","ERG Coach Del Beekley Volunteer Cup",2000m,"2000 meter",2000m,11:00,9,"San Diego Rowing Club",6832/entries/159,"Bolitho, Glynn",,,"did not start"
sdcc,083,"WHS JV 4","Womens High School Junior Varsity 4",ERG,2000m,"2000 meter",2000m,09:00,3,"Bishop O'Connell Crew/Bishop Denis J. O'Connell High School Crew Boosters Club A",6832/entries/282,"Savage, Sophia",1,08:31.7,official
sdcc,083,"WHS JV 4","Womens High School Junior Varsity 4",ERG,2000m,"2000 meter",2000m,10:40,8,RowLA,6832/entries/60,"De Nes, Isabella",2,08:49.3,official
sdcc,083,"WHS JV 4","Womens High School Junior Varsity 4",ERG,2000m,"2000 meter",2000m,10:40,8,"Lakeside School",6832/entries/237,"Yue, Katherine",3,08:55.5,official
sdcc,083,"WHS JV 4","Womens High School Junior Varsity 4",ERG,2000m,"2000 meter",2000m,10:40,8,"Roland Park Country School",6832/entries/71,"Rowe, Kenzie",4,09:08.7,official
sdcc,083,"WHS JV 4","Womens High School Junior Varsity 4",ERG,2000m,"2000 meter",2000m,09:00,3,"Bishop O'Connell Crew/Bishop Denis J. O'Connell High School Crew Boosters Club B",6832/entries/288,"Babka, Claire",5,09:10.3,official
sdcc,083,"WHS JV 4","Womens High School Junior Varsity 4",ERG,2000m,"2000 meter",2000m,10:40,8,"Lakeside School",6832/entries/238,"Palomino, Terese",6,09:10.5,official
sdcc,041,"WME 8+","Womens Masters E (55-59) 8+",WATER,"1250m outbound","1250m outbound leg",1250m,01:00,,"North Shore",6832/entries/182,"Taylor, Natalee",1,05:00.1,official
sdcc,120,"MixM Club Champ 8","Mixed Masters Club Championship 8",ERG,2000m,"2000 meter",2000m,13:40,17,"The RowHouse SB Club",6832/entries/207,"Garfein, Susan",1,08:13.8,official
sdcc,030,"MHS Novice 8+","Mens High School Novice 8+",WATER,"1250m return","1250m return leg",1250m,01:00,,"St. Michaels University School",6832/entries/153,"Aubertin, Jaieme",1,04:37.4,official
sdcc,087,"MHS Novice 4","Mens High School Novice 4",ERG,2000m,"2000 meter",2000m,14:00,18,"San Diego Rowing Club A",6832/entries/269,"Schulteis, Alaric",1,07:51.2,official
sdcc,087,"MHS Novice 4","Mens High School Novice 4",ERG,2000m,"2000 meter",2000m,08:40,2,"Bishop O'Connell Crew/Bishop Denis J. O'Connell High School Crew Boosters Club A",6832/entries/291,"Oudkirk, Thomas",2,07:55.4,official
sdcc,087,"MHS Novice 4","Mens High School Novice 4",ERG,2000m,"2000 meter",2000m,14:00,18,"Community Rowing of San Diego",6832/entries/201,"Medina, Pierre",3,08:55.4,official
sdcc,087,"MHS Novice 4","Mens High School Novice 4",ERG,2000m,"2000 meter",2000m,08:40,2,"Bishop O'Connell Crew/Bishop Denis J. O'Connell High School Crew Boosters Club B",6832/entries/292,"Parsons, Severyn",4,09:49.8,official
sdcc,087,"MHS Novice 4","Mens High School Novice 4",ERG,2000m,"2000 meter",2000m,14:00,18,"San Diego Rowing Club B",6832/entries/271,"Young, Elliot",,,"did not start"
sdcc,015,"MColl 3V 8+","Mens Collegiate 3V 8+",WATER,"1500m return","1500m return leg",1500m,01:00,,"University of San Diego",6832/entries/31,"Munguia Wulftange, Francisco",1,05:17.3,official
sdcc,114,"MME 8","Mens Masters E (55-59) 8","ERG Stewards Cup",2000m,"2000 meter",2000m,09:40,5,"San Diego Rowing Club",6832/entries/160,"Wood, Michael",1,07:28.0,official
sdcc,023,"MHS Novice 4x+","Mens High School Novice 4x+",WATER,"1250m return","1250m return leg",1250m,01:00,,"Community Rowing of San Diego",6832/entries/232,"Janicik, Carson",1,04:51.4,official
sdcc,023,"MHS Novice 4x+","Mens High School Novice 4x+",WATER,"1250m return","1250m return leg",1250m,01:00,,"Community Rowing of San Diego",6832/entries/230,"Sindici, Shannon",2,05:05.1,official
sdcc,022,"MHS JV 4x","Mens High School Junior Varsity 4x",WATER,"1250m outbound","1250m outbound leg",1250m,01:00,,"Karachi Boat Club A",6832/entries/169,"Aziz, Afnan",1,04:18.4,official
sdcc,022,"MHS JV 4x","Mens High School Junior Varsity 4x",WATER,"1250m outbound","1250m outbound leg",1250m,01:00,,"Karachi Boat Club B",6832/entries/197,"Sattar, Raaed Moosa",2,04:54.3,official
sdcc,111,"MMB 8","Mens Masters B (36-42) 8","ERG Presidents Trophy",2000m,"2000 meter",2000m,10:00,6,"San Diego Rowing Club",6832/entries/66,"Murt, Jeffrey",1,07:01.5,official
sdcc,095,"LMHS 8","Mens High School Lightweight 8","ERG Shimano Rowing Dynamics Cup",2000m,"2000 meter",2000m,10:00,6,"San Diego Rowing Club",6832/entries/235,"Sosna, Dane",1,07:25.9,official
