Year,Event,Trophy,Event Descriptions,Race Label,Finish Place,Club Name,Adj Time,Cox,Bow,2,3,4,5,6,7,Stroke,Coach,Seconds
2025,25,,Men's U17 4X,Prelim,6,Redwood Scullers/PACJC,7:27.343,,"Mulloy, Tobey","Hlupnov, Nikita","Tulek, Deniz",,,,,"Nagabhushan, Samrudh",,447.343
2025,34,Karen Plumleigh Cortney Memorial Cup,Women's Collegiate Varsity 4+ Karen Plumleigh Cortney Cup,Heat 2,5,University of California - San Diego Crew,7:55.651,"Pullin, Melinda","Sugarman, Erin","Gwizdak, Izabella","Reisinger, Maya",,,,,"Byun, Jacqueline",,475.651
2025,30,Jessop-Whittier Cup,Women's Varsity 8+ Jessop-Whittier/Cal  Cup Collegiate Invitational,Heat 1,4,University of California - San Diego Crew,6:40.686,"Petersen, Sabina","Vallancey, Natasha","Norstad, Natalie","Auran, Ciara","Bradley, Laine","Ford, Annica","Anderson, Samantha","Feagler, Lily","Cooper, Kiera",,400.686
2025,35,Jackie Ann Stitt Hungness Memorial Cup,Women's Collegiate 2V 8+ Jackie Ann Stitt Hungness Trophy,Heat 2,5,University of California - San Diego Crew,7:06.628,"Fisk, Peyton","Key, Aura","Nowak, Katherine","Dryden, Reagan","Hunter, Charlotte","Tucker, Ameli","Cuneo, Rachel","Worley, Audrey","Scott, Indi",,426.628
2025,39,,Women's Collegiate B 4+ ,Heat 1,5,University of California - San Diego Crew,7:57.688,"Senan, Anika","Gross, Caroline","Church, Jaime","Button, Mara",,,,,"Balsbaugh, Deanne",,477.688
2025,43,Coronado Cays Realty Cup,Men's Masters Club Champ 8+ Coronado Cays Realty Cup,Final B,0,Los Gatos Rowing Club,0.000,"Roskow, Max","Kaplan, William","Shelton, David","McNamara, Ryan","McMillan, Jeff","Kelm, John","Tagalog, Sylvio","Jane, Jason","McLuhan, Graham","Debellis, Rudy",0
2025,72,Jean Jessop Hervey Cup,Men's Youth B 8+ Jean Jessop Hervey Cup,Final A,5,Los Gatos Rowing Club,6:33.102,"Cherlopalle, Kyra","Brown, Cameron","Chiu, Kealan","Della Ratta, Nico","Dalesio, Victor","O'Brien, Milton","Weinstein, Julian","Dischler, Theodore","McInerney, Declan","Walker, Channing",393.102
2025,28,,Women's Youth B 4X,Heat 2,5,Los Gatos Rowing Club,7:49.981,,"Vantress, Lena","Wayne, Olivia","Kapoor, Nainica",,,,,"Ruf, Rainey",,469.981
2025,70,,Men's U17 8+,Final A,5,"Oakland Strokes, Inc.",6:45.417,"Britton, Austin","Chernikov, Vasili","Schmah, Wyatt","Branneria, Diego","Jefferson, Dean","McWilton, Fergus","Cross, Connor","ABBOUD, Luc","Gaidos, Leif",,405.41700000000003
2025,70,,Men's U17 8+,Prelim,5,"Oakland Strokes, Inc.",6:36.995,"Britton, Austin","Chernikov, Vasili","Schmah, Wyatt","Branneria, Diego","Jefferson, Dean","McWilton, Fergus","Cross, Connor","ABBOUD, Luc","Gaidos, Leif",,396.995
2025,67,,Women's Youth 8+,Final A,6,"Oakland Strokes, Inc.",7:05.200,"Goldstein, Isabelle","Fukuda, Mariko","Landreth, Josephine","Minor, Laurel","Wheeler, Ava","von Metzsch, Claire","Johnson, Geneva","Brenner, Sophia","Hughes, George",,425.2
2025,1,,Mixed Masters Club 8+,Heat 1,6,San Diego Rowing Club,8:47.987,"Aguirre, Alondra","Orozco Cronin, Patti","Mallis, Tara","Lee, John","Luik, Shannon","Ferdinando, Mahinda","Rasheed, Alaina","Galante, Alberto","Straus, Samuel",,527.987
2025,71,ZLAC Rowing Club Cup,Women's Youth B 8+ ZLAC Rowing Club Cup,Final B,5,San Diego Rowing Club,8:34.078,"Stewart, Mia","Gallus, Gabriella","Ward, Catherine","Kulik, Chloe","Ciulli, Bella","Dempsey, Catherine Grace","Ballesteros, Adriana","Rasmussen, Kate","Nichols, Madisen",,514.078
2025,34,Karen Plumleigh Cortney Memorial Cup,Women's Collegiate Varsity 4+ Karen Plumleigh Cortney Cup,Final A,5,University of Notre Dame Women's Rowing,7:35.692,"Abbott, Margaret","Hartzell, Grace","Tessen, Elizabeth","Macy, Claire",,,,,"Louser, Sara",,455.692
2025,39,,Women's Collegiate B 4+ ,Final A,7,University of Notre Dame Women's Rowing,8:01.566,"Fratantonio, Lily","McNutt, Reece","Naman, Madison","Clavi, Riley",,,,,"Golden, Marie",,481.566
2025,40,Laurel V. Korholz Perpetual Trophy,Women's Collegiate Novice 8+ Laurel Korholz Perpetual Trophy,Final A,5,University of San Diego,7:46.384,"Bagherian, Madison","Anderson, Taylor","Kramer, Madeline","Gurusinghe, Pravindi",,"Walker, Riley",,"Goodwyn, Olivia","Gililland, Katherine",,466.384
2025,35,Jackie Ann Stitt Hungness Memorial Cup,Women's Collegiate 2V 8+ Jackie Ann Stitt Hungness Trophy,Final A,8,University of San Diego,7:03.740,"Melstrand, Everett","Conklin, Grace","Ruinet, Annabelle","Dunn, Reese","Minney, Ava","Koerwitz, Gigi","O'Dea, Ali","Baker, Makayla","Goretic, Vivien",,423.74
2025,34,Karen Plumleigh Cortney Memorial Cup,Women's Collegiate Varsity 4+ Karen Plumleigh Cortney Cup,Heat 1,4,University of San Diego,7:57.966,"Pacheco, Ayla","Jones, Michaela","Gulbranson, Isabella","Challis, Chloe",,,,,"Carter, Jessica",,477.966
2025,7,,Men's Masters Club 4X,Final,6,Lake Washington Rowing Club,7:01.380,,"Tynan, Joe","sama, jose","Leon, David",,,,,"Tigani, Jordan",,421.38
2025,69,Referee Cup,Women's U17 8+ Referee Cup,Final A,6,San Diego Rowing Club,8:07.707,"Raisinghani, Priyanka","Steck, Camilla","Humphrey, Savannah","Hennigan, Elizabeth","Watson, Michaela","Bello, Eseosa","King, Katarina","Caplan, Louisa","Balog, Annika",,487.707
2025,8,,Women's Masters Club 4X,Final A,7,San Diego Rowing Club,7:57.508,,"Hartman, Arlene","Muenzen, Barbara","Warncke, Janet",,,,,"Ewing, Mary",,477.508
2025,1,,Mixed Masters Club 8+,Final B,2,San Diego Rowing Club,7:24.926,"Spoor, Daniela","Trethewey, Kathi","Gjerset, Susan","Occhioni, Micaela","Melberg, Janine","Johnston, Craig","Mazur, Curt","Crisafi, Anthony","Bennett, Kearney",,444.926
2025,7,,Men's Masters Club 4X,Final,3,San Diego Rowing Club,6:15.796,,"Day, Evan","Vegar, Stan","Burns, Seth",,,,,"Peszek, Tom",,375.796
2025,67,,Women's Youth 8+,Final A,4,San Diego Rowing Club,7:02.334,"Rumel, Lindy","Bentinck, Francesca","Carr, Francine","Moe, Abigail","Steinmeier, Grace","Rebeiz, Marie","Johnson, Katelyn","Long, Savannah","Yi, Rachel",,422.334
2025,8,,Women's Masters Club 4X,Final A,3,San Diego Rowing Club,7:10.021,,"Carle, Stesha","Foster, Alexandra","Burns, Lindsay",,,,,"Czajkowski, Katrine",,430.021
2025,72,Jean Jessop Hervey Cup,Men's Youth B 8+ Jean Jessop Hervey Cup,Heat 2,6,San Diego Rowing Club,6:45.177,"Kirkman, Kynzie","Harris, Tristan","Wright, Evan","Leigh, Mason","Drouin, Ryan","Baum, Oliver","Bentinck, William","Nguyen, Adam","Alvarez, Jose",,405.177
2025,72,Jean Jessop Hervey Cup,Men's Youth B 8+ Jean Jessop Hervey Cup,Final B,2,San Diego Rowing Club,7:03.117,"Kirkman, Kynzie","Harris, Tristan","Wright, Evan","Leigh, Mason","Drouin, Ryan","Baum, Oliver","Bentinck, William","Nguyen, Adam","Alvarez, Jose",,423.117
2025,70,,Men's U17 8+,Prelim,4,San Diego Rowing Club,6:33.195,"WOZNIAK, ASHER","Day, Henry","Mack, Christian","James, Jaxson","Day, Samuel","Richardson, Rhett","Nichols, Wyatt","Outi, Felipe","Meisenbach, Zackary",,393.195
2025,70,,Men's U17 8+,Final A,3,San Diego Rowing Club,6:42.463,"WOZNIAK, ASHER","Day, Henry","Mack, Christian","James, Jaxson","Day, Samuel","Richardson, Rhett","Nichols, Wyatt","Outi, Felipe","Meisenbach, Zackary",,402.463
2025,71,ZLAC Rowing Club Cup,Women's Youth B 8+ ZLAC Rowing Club Cup,Heat 2,4,San Diego Rowing Club,7:14.079,"Ahadian, Nora","Thompson, Amira","Hou, Maggie","Bigler, Gabriella","Bouman, Mahaila","Berk, Cameron","Page, Jacqueline","Rowley, Kate","Gonor, Presley",,434.079
2025,7,,Men's Masters Club 4X,Heat 1,3,Lake Washington Rowing Club,7:17.299,,"Tynan, Joe","sama, jose","Leon, David",,,,,"Tigani, Jordan",,437.299
2025,47,,Mens PR3 Inc 2x,Final,2,Bair Island Aquatic Center (BIAC),9:20.847,,,,,,,,,"Gernaat, Russell",,560.847
2025,30,Jessop-Whittier Cup,Women's Varsity 8+ Jessop-Whittier/Cal  Cup Collegiate Invitational,Heat 1,5,University of San Diego,6:42.347,"Appleyard, Hava","Peebles, Addison","Bouvard, Sophia","Goodwyn, Annika","Lang, Skye","Soukoulis, Jayden","Kaufmann, Grace","Cary, Emily","Donn, Rebecca",,402.347
2025,35,Jackie Ann Stitt Hungness Memorial Cup,Women's Collegiate 2V 8+ Jackie Ann Stitt Hungness Trophy,Heat 1,3,University of San Diego,6:55.373,"Melstrand, Everett","Conklin, Grace","Ruinet, Annabelle","Dunn, Reese","Minney, Ava","Koerwitz, Gigi","O'Dea, Ali","Baker, Makayla","Goretic, Vivien",,415.373
2025,40,Laurel V. Korholz Perpetual Trophy,Women's Collegiate Novice 8+ Laurel Korholz Perpetual Trophy,Prelim,5,University of San Diego,7:37.999,"Bagherian, Madison","Anderson, Taylor","Kramer, Madeline","Gurusinghe, Pravindi",,"Walker, Riley",,"Goodwyn, Olivia","Gililland, Katherine",,457.999
2025,33,Active & Fit Now™ Cal Cup,Men's Collegiate Varsity 8+ Active&Fit Now™ Cal Cup,Final A,4,University of San Diego,6:08.592,"McDonnell, Jonah","Sayler, Stephen","Zelenko, Jacob","Conover, Jadyn Michael","Krich, Gable","Bales, Rex","Pigott, Samuel","Hein, Dawson","Hissong, Derek",,368.592
2025,39,,Women's Collegiate B 4+ ,Heat 1,3,University of Notre Dame Women's Rowing,7:48.990,"Fratantonio, Lily","McNutt, Reece","Naman, Madison","Clavi, Riley",,,,,"Golden, Marie",,468.99
2025,41,Carley Copley Cup,Women's Open 8+ Carley Copley Cup,Prelim,4,University of Notre Dame Women's Rowing,7:04.547,"Kang, Joyce","Klocke, Rory","Keegan, Lilly","Kilgannon, Elle","Spira, Christina","Henning, Christina","McMahon, Maeve","Rice, Morgan","Taylor, Grace",,424.547
2025,41,Carley Copley Cup,Women's Open 8+ Carley Copley Cup,Final A,4,University of Notre Dame Women's Rowing,7:11.751,"Kang, Joyce","Klocke, Rory","Keegan, Lilly","Kilgannon, Elle","Spira, Christina","Henning, Christina","McMahon, Maeve","Rice, Morgan","Taylor, Grace",,431.751
2025,7,,Men's Masters Club 4X,Heat 2,3,Bair Island Aquatic Center (BIAC),6:51.318,,"Serrano Cendejas, Jesus","Reilly, Greyson","West, Evan",,,,,"Marcacci, Michael","Flynn, Chris",411.318
2025,44,Thalia Kelly Considine Cup,Women's Masters Club Champ 8+ Thalia Kelly Considine Cup,Final A,3,Bair Island Aquatic Center (BIAC),7:09.195,"Schiros, Bella","Cobb, Caitlin","Cooper, Nadia","Bradley, Athena","Reinhardt, Erin","Marcacci, Emily","Hayes, Reilly","Meyer, Alyssa","Arasa Bonavila, Natalia","Flynn, Chris",429.195
2025,26,Concept2 Trophy,Women's Youth 4X Concept2 Trophy,Heat 2,4,"ZLAC Rowing Club, LTD",8:31.223,,"Barkett, Grace","Shomphe, August","SANTAMARIA, MARIANA",,,,,"Nielsen, Ellen","Woods, Dianna",511.223
2025,76,Stewards Cup,Men's Masters E 8+ Stewards Cup (55-59) ,Final,5,Los Gatos Rowing Club,7:17.386,"Roskow, Max","Kaplan, William","Shelton, David","McNamara, Ryan","McMillan, Jeff","Kelm, John","Tagalog, Sylvio","Jane, Jason","McLuhan, Graham","Debellis, Rudy",437.386
2025,25,,Men's U17 4X,Prelim,3,Los Gatos Rowing Club,7:04.197,,"Boublik-Whiteley, Jack","Stulski, David","Harman, Brooklyn",,,,,"Marble, Nathan","LaScola, Trevor",424.197
2025,28,,Women's Youth B 4X,Heat 2,4,Los Gatos Rowing Club,7:48.726,,"Sotelo, Rachel","Kesavan, Harshini","Okubo, Mariko",,,,,"Chen, Lauren",,468.726
2025,68,San Diego Rowing Club Cup,Men's Youth 8+ San Diego Rowing Club Cup,Heat 2,5,"Oakland Strokes, Inc.",6:28.236,"Rueca, Matteus","Toan, David","Vergara, Pedro","Duransoy, Evrim","Billington, Harrison","Nikolov, Kaloyan","Spear, Sacha","Arroyo, Russell","Brodie, Senan",,388.236
2025,72,Jean Jessop Hervey Cup,Men's Youth B 8+ Jean Jessop Hervey Cup,Heat 1,5,"Oakland Strokes, Inc.",6:38.016,"Lee, Katelyn","Rudolph, Jack","Bierlink, Samuel","Eggert, Matthew","Tatara, Henry","Martin-Gulutzan, Jake","Stein, Max","Slemeck, Sebastien","Young, Andrew",,398.016
2025,28,,Women's Youth B 4X,Final B,1,Los Gatos Rowing Club,8:15.866,,"Vantress, Lena","Wayne, Olivia","Kapoor, Nainica",,,,,"Ruf, Rainey",,495.866
2025,44,Thalia Kelly Considine Cup,Women's Masters Club Champ 8+ Thalia Kelly Considine Cup,Heat 2,4,Los Gatos Rowing Club,7:59.717,"O'Connor, S. A.","Wespi, Rita","Reekie, Shirley","Lopez, Rose","Hayes, Mary","Martin, Kate","Buendia, Eby","Spaulding, Tiffany","Timpe, Amy","Debellis, Rudy",479.717
2025,1,,Mixed Masters Club 8+,Final A,6,Los Gatos Rowing Club,6:57.460,"Cherlopalle, Kyra","Spaulding, Tiffany","Hayes, Mary","Martin, Kate","Buendia, Eby","Kelm, John","Tagalog, Sylvio","McNamara, Ryan","McLuhan, Graham","Debellis, Rudy",417.46
2025,22,Ulster Challenge Cup,Women's U16 4X+ Ulster Challenge Cup,Final,5,Redwood Scullers/PACJC,8:07.588,"Lam, Maggie","Mathur, Anvi","Turner, Tallulah","Hattori, Arabella",,,,,"Staley, Ayla",,487.588
2025,28,,Women's Youth B 4X,Final A,3,Redwood Scullers/PACJC,7:23.391,,"Avila, Kassidy","Oh, Jiwoo","Pecore, E",,,,,"Abbo, Layla",,443.391
2025,20,,Women's U16 8+,Prelim,4,Norcal Crew,7:59.744,"Baquiran, Chloe","Feirman, Bella","Kohli, Enaya","Chakraborty, Aresa","Brodeur, Elizabeth","Lanchester Hall, Mirabelle","Yen, Samantha","Law, Skyler","Jusko, Anna","Del Zompo, Chris",479.744
2025,20,,Women's U16 8+,Final,4,Norcal Crew,8:06.560,"Baquiran, Chloe","Feirman, Bella","Kohli, Enaya","Chakraborty, Aresa","Brodeur, Elizabeth","Lanchester Hall, Mirabelle","Yen, Samantha","Law, Skyler","Jusko, Anna","Del Zompo, Chris",486.56
2025,8,,Women's Masters Club 4X,Final B,2,Newport Aquatic Center,8:08.615,,"Lee, Elisa","Plon, Barbara","Ishop, Kedra",,,,,"Billyou, Jean",,488.615
2025,68,San Diego Rowing Club Cup,Men's Youth 8+ San Diego Rowing Club Cup,Final A,2,Norcal Crew,6:09.583,"Park, Yoonu","Root, Nigel","Pecore, Henry","Brown, Nicholas","Jagerson, Huck","Allison, Henry","Fetter, Peter","Hoffman, Emmett","Bliss-Carrascosa, Matias","Kaitz, John",369.583
2025,21,Rose Cup,Men's U16 8+ Rose Cup,Final,4,Norcal Crew,6:56.906,"Furukawa, Cira","Kuwajima, Yotaro","Sagar, Rohan","Gould, Joshua","Campi, Frank","Lu, Nicolas","Atreya, Abinav","Fu, Eric","Cabral, Grant",,416.906
2025,21,Rose Cup,Men's U16 8+ Rose Cup,Prelim,4,Norcal Crew,6:43.237,"Furukawa, Cira","Kuwajima, Yotaro","Sagar, Rohan","Gould, Joshua","Campi, Frank","Lu, Nicolas","Atreya, Abinav","Fu, Eric","Cabral, Grant",,403.237
2025,34,Karen Plumleigh Cortney Memorial Cup,Women's Collegiate Varsity 4+ Karen Plumleigh Cortney Cup,Heat 2,3,UCLA Women's Rowing,7:35.172,"Barber, Caroline","Staelens, Zoe","Symanski, Rowan","Compagnucci, Sandra",,,,,"DeFrancisci, Danielle",,455.172
2025,35,Jackie Ann Stitt Hungness Memorial Cup,Women's Collegiate 2V 8+ Jackie Ann Stitt Hungness Trophy,Heat 2,3,UCLA Women's Rowing,6:43.609,"Van Fleet, Ella","Katz, Rachel","Brown, Lauren","Hales, Lydia","Tahawi, Cleopatra","Prindiville, Claire","Vail, Kate","O'Neil, Ella","Monster, Kamryn",,403.609
2025,30,Jessop-Whittier Cup,Women's Varsity 8+ Jessop-Whittier/Cal  Cup Collegiate Invitational,Heat 2,3,UCLA Women's Rowing,6:36.352,"Tatum, Annie","Wegener, Helena","Brunel, Sarah","Frassrand, Kaija","Loeb, Audrey","Otway, Kyla","McCracken, Meghan","Monaci, Lucrezia","Rubeo, Francesca",,396.352
2025,39,,Women's Collegiate B 4+ ,Final A,3,UCLA Women's Rowing,7:44.655,"Turcotte, Faye","Djuric, Andrea","McLaughlin, Bridget","Shackelford, Katherine",,,,,"McTear, Bridget",,464.655
2025,39,,Women's Collegiate B 4+ ,Heat 2,2,UCLA Women's Rowing,7:39.081,"Turcotte, Faye","Djuric, Andrea","McLaughlin, Bridget","Shackelford, Katherine",,,,,"McTear, Bridget",,459.081
2025,8,,Women's Masters Club 4X,Heat 2,4,Chinook Performance Racing,7:53.870,,"Moffat, Jennifer","Lamb, Maureen","Cassella, Elissa",,,,,"Goforth, Kimberly",,473.87
2025,43,Coronado Cays Realty Cup,Men's Masters Club Champ 8+ Coronado Cays Realty Cup,Final A,4,Marin Rowing Association,6:12.332,"Stearns, Murphy","King, Benjamin","Rinehart, Gregory","Stralka, Mike","paradis, paul","Laurberg, Bjoern","Kennel, John","DeRuff, David","Clark, Kevin","Rodrigues, Rodrigo",372.332
2025,6,Founders Cup,Men's Masters D 8+ Founders Trophy (50-54) ,Final,1,Marin Rowing Association,6:43.595,"Anawalt, Parker Rose","Lange, Tyler","Younger, John","Kunz, Clayton","Stewart, Brian","Steinman, Josh","Aguiar, Mike","Champagne, Gary","Clemmer, Kenneth","Rodrigues, Rodrigo",403.595
2025,71,ZLAC Rowing Club Cup,Women's Youth B 8+ ZLAC Rowing Club Cup,Final B,4,River City Rowing Club,7:59.723,"King, Gabrielle","Cinder, Olivia","He, Jade","Carpenter, Annabelle","Avila, Kris","Schwarz, Gali","Mills, Lillian","Ali, Talya","Buchanan, Lucy",,479.723
2025,29,,Men's Youth B 4X,Final A,8,Maritime Rowing Club,6:46.576,,"Cushman, Jack","Brauweiler, Henry","Turner, Adam",,,,,"Morey, Cameron","Vengerovskiy, YAN",406.576
2025,29,,Men's Youth B 4X,Heat 2,3,River City Rowing Club,6:42.151,,"Gough, Elliott","King, Julian","Bzoskie, Kai",,,,,"Oehmke, Henry",,402.151
2025,44,Thalia Kelly Considine Cup,Women's Masters Club Champ 8+ Thalia Kelly Considine Cup,Heat 1,4,Lake Oswego Community Rowing,7:54.789,"Kramer, Laura","Seitz, Rosealynn","Rice, Jessica","Kennedy, Chloe","Farabee, Kelsey","Jennings, Natalie","Jung, Theresa","Holt, Shannon","Huizing, Marjan","Jennings, Natalie",474.789
2025,34,Karen Plumleigh Cortney Memorial Cup,Women's Collegiate Varsity 4+ Karen Plumleigh Cortney Cup,Final A,3,University of California-Berkeley,7:21.322,"Obsitnik, Kira","McDermott, Katie","McKernan, Zoe","Furlonger, Amy",,,,,"Pearson, Alexandra",,441.322
2025,35,Jackie Ann Stitt Hungness Memorial Cup,Women's Collegiate 2V 8+ Jackie Ann Stitt Hungness Trophy,Final A,3,University of California-Berkeley,6:36.839,"Fullington, Julia","Ward, Sophie","Roth, Olivia Catarina","Kearney, Shannon","Campbell, Isobel","Crampin, Lola","Irmler, Julia","Pember, Lily","Bosio, Giulia",,396.839
2025,30,Jessop-Whittier Cup,Women's Varsity 8+ Jessop-Whittier/Cal  Cup Collegiate Invitational,Final A,3,University of California-Berkeley,6:24.993,"Melnick, Piper","Luke, Della","Hunt Davis, Julia","van Westreenen, Lotta","Miller, Star Rose","Wheeler, Ella","Abbott, Lily","Berger, Ella","Bouman, Minou",,384.993
2025,69,Referee Cup,Women's U17 8+ Referee Cup,Final A,4,Marin Rowing Association,7:27.828,"Lau, Avery","Lewis, Evelyn","Elkhoury, Sahara","Reinhardt, Lauren","Bentley, Eleanor","Cherniss, Frankie","Hardin, Ada","Klimenko, Charlotte","Wilmes, Adelaide",,447.828
2025,71,ZLAC Rowing Club Cup,Women's Youth B 8+ ZLAC Rowing Club Cup,Final A,3,Marin Rowing Association,7:15.978,"Bosshard, Lucia","Beneda, Claire","Wells, Danica","Phillips, Petra","Steinman, Miriam (Sloan)","Carney Skytt, Fiona","Stevens, Charlotte","Ferris, Cecilia","Revitch, Beatrice",,435.978
2025,8,,Women's Masters Club 4X,Heat 1,5,"Community Rowing, Inc.",8:26.921,,"Carlson, Madeline","Saalau, Susanne","SAARELA, CATHERINE",,,,,,"SAARELA, CATHERINE",506.921
2025,43,Coronado Cays Realty Cup,Men's Masters Club Champ 8+ Coronado Cays Realty Cup,Final B,1,Ancient Mariners Rowing Club,7:08.601,"Charters, Marcie","Holt, John","Naden, George","Narver, Gregory","Charters, William","Cain, David","Laband, Jeff","Struzyna, Dieter","Lamka, Bruce",,428.601
2025,43,Coronado Cays Realty Cup,Men's Masters Club Champ 8+ Coronado Cays Realty Cup,Heat 2,6,Ancient Mariners Rowing Club,6:34.622,"Charters, Marcie","Holt, John","Naden, George","Narver, Gregory","Charters, William","Cain, David","Laband, Jeff","Struzyna, Dieter","Lamka, Bruce",,394.622
2025,43,Coronado Cays Realty Cup,Men's Masters Club Champ 8+ Coronado Cays Realty Cup,Heat 1,4,Long Beach Rowing Association,6:33.608,"Cruz, Edward","Glidden, Robert","Tartaglia, Peter","Bruggeman, Brayden","Fontein, Janis","Anderson, Ross","Kinzer, Dan","McGill, Milton Daniel","Perrot, Robert",,393.608
2025,34,Karen Plumleigh Cortney Memorial Cup,Women's Collegiate Varsity 4+ Karen Plumleigh Cortney Cup,Heat 1,0,Sacramento State,0.000,"Barrow, Ella","Stockton, Emma","Stehlik, Nela","Nixon, Bryleigh",,,,,"Gaston, Pearl",,0
2025,42,Anderson Borthwick Memorial Cup,Men's Open 8+ Anderson Borthwick Memorial Trophy Presented by SDRC,Final A,0,"Community Rowing, Inc.",0.000,"kelley, charlotte","Farrell, Paul","edwards, Winthrop John","Bedard, Marcel","Yoo, Chris","Bayko, Rick","Schwarzer, Franklin","Leonardo, Thomas","Hudanich, John",,0
2025,5,,Women's Masters D 8+ (50-54),Final,3,Long Beach Rowing Association,8:20.464,"Glidden, Therese","Luther, Terry","Richards, Pat","Geddes, Sarah","Stromberg, Kelly","Wong, Sherry","Gildard, Trisa","Balderas, Katie","Faustina, Sharon","Gleie Baverstock, Katrin",500.464
2025,28,,Women's Youth B 4X,Heat 1,2,Texas Rowing Center,7:33.913,,"Brotman, Ella","Kinzy, Natasa","Pierce, Giuliana",,,,,"Stromberger, Margaret",,453.913
2025,11,Oarlock Trophy,Men's Masters F 8+ Grand Masters Oarlock Trophy (60-64) ,Final,3,Texas Rowing Center,7:12.495,"Smith, Sharon","Shalabi, Khalil","Anderson, John","Herbeck, Gilbert","Ellis, Philip","Frey, Fred","Minzenmayer, Brian","Bolton, Scott","Meiske, Erich",,432.495
2025,29,,Men's Youth B 4X,Heat 1,2,Texas Rowing Center,6:35.007,,"Campanell, Nico","Bilbe, Holden","GRIFFIN, JAMES",,,,,"Grantham, Fletcher",,395.007
2025,77,Margi Fetter Graham Cup,Women's Masters C 8+ Margi Fetter Graham Trophy (43-49),Final,1,Texas Rowing Center,7:02.470,"Singh, Tariya","Hawley, Imogen","Kuehster, Louise","Liedeker, Eileen","Lafferty, Devon","Schmidt, Krista","Pendleton, Jessica","Fuller Knight, Devon","Woodhart, Tina",,422.47
2025,27,Joan Ward Memorial Trophy,Men's Youth 4X Joan Ward Memorial Cup,Final A,2,Texas Rowing Center,6:25.270,,"Ellis, Frederick","Haselwood, Hendrix","Jeffrey, James",,,,,"Collins, Carson",,385.27
2025,23,,Men's U16 4X+,Prelim,3,Marina Aquatic Center Junior Rowing,7:57.247,"Andersen, James","Koven, Benjamin","Andersen, Balthazar","Schlumberger, Lucas",,,,,"Henry, Nolan",,477.247
2025,68,San Diego Rowing Club Cup,Men's Youth 8+ San Diego Rowing Club Cup,Heat 1,4,Marina Aquatic Center Junior Rowing,6:27.307,"Wilson, Madeleine","Hung, Jarett","Armandpour, Lucas","Chen, Anjun","McCollough, Benjamin","Miller, Oliver","Beebe Read, Kallean","Campbell, Miles","Faynsod, Goose",,387.307
2025,27,Joan Ward Memorial Trophy,Men's Youth 4X Joan Ward Memorial Cup,Final B,2,St. Mark's School of Texas,6:55.087,,"Lee, Linyang","Kraus, Elijah","Lance, Hewes",,,,,"McGowan, Ian",,415.087
2025,10,Duke Robinson Memorial Trophy,Women's Masters A 8+ Duke Robinson Memorial Cup (27-35) ,Final,3,Potomac Boat Club,7:26.683,"Castleberry, Victoria","Cai, Sophia","Lake, Naomi","Aberle, Grace","Penner, Jacqueline","Kruse, Laura","Anagnostos, Emily","Nash, Kathryn","Gluntz, Alexandra",,446.683
2025,42,Anderson Borthwick Memorial Cup,Men's Open 8+ Anderson Borthwick Memorial Trophy Presented by SDRC,Prelim,3,Potomac Boat Club,6:28.307,"Meier, Cameron",,"Clements, Peter",,"Boosman, Wessel","CULBERT, AUGUST","Rogers, Patrick","Labonski, Caleb","Sullivan, Alexander",,388.307
2025,26,Concept2 Trophy,Women's Youth 4X Concept2 Trophy,Heat 4,2,Vancouver Rowing Club,7:30.141,,"Liu, Susannah","Boulle, Charlotte","Beurts, Ariana",,,,,"Jobling, Elyse",,450.141
2025,25,,Men's U17 4X,Final,3,Long Beach Junior Crew,7:06.378,,"Guettler, Gavin","Bolton, Harrison","Guan, Vincent",,,,,"Smith, Kenneth",,426.378
2025,22,Ulster Challenge Cup,Women's U16 4X+ Ulster Challenge Cup,Prelim,6,Long Beach Junior Crew,8:32.569,"Lim, Sophia","Miller, Kaylah","Carruth, Isla","Moradkani, Ella",,,,,"Ganet, Lucy",,512.569
2025,17,Michael Lehman Alumni Trophy,Men's Alumni 8+,Flight 2,3,Oregon State University Alumni,6:33.179,"Garrison, Benjamin","Carlton, Alexander","Kosek, Sasha","Connelly, Issac",,"Everett, Greg","Maritz, Jesse","patrick, nils","Coulter, Ryan",,393.179
2025,27,Joan Ward Memorial Trophy,Men's Youth 4X Joan Ward Memorial Cup,Heat 3,4,Vancouver Rowing Club,7:10.355,,"Karim, Faraaz","Horte, Eric","Geoffrion, Noa",,,,,"Pollock, Hy",,430.355
2025,69,Referee Cup,Women's U17 8+ Referee Cup,Heat 2,3,Capital Crew,7:18.775,"Hartman, Jinjoo","Spantzel, Heidi","Wolfe-Clark, Makena","Gratiot, Abigail","Royer, Summer","Roberts, Isabella","Higbee, Claire","Plain, Stella","Anderson, Cecilia",,438.775
2025,67,,Women's Youth 8+,Final B,4,Capital Crew,8:22.285,"Kaplan, Sayomi","Holloway, Tailer","Schaedler, Teagan","Sheets, Alexandria","Kaneshiro, Lorena","Levermore, Ava","Lafontaine, Ava","Linklater, Anneles","Zhang, Vicky",,502.285
2025,23,,Men's U16 4X+,Final,4,Cathedral Catholic High School Crew,8:02.509,"MacDonald, Peter","Sakata, Lawrence","Podegracz, Owen","Ebreo, Logan",,,,,"Usuka-Ternero, Christopher","Kiser, Jeffrey",482.509
