Event #,Trophy,Event,Heat,Place,Boat,Time
35,,"Womens Masters Club Champ Thalia Kelly Considine Cup Heat 1 1­4 to F1, Remainder to F2 (11:44:00) Official",,3,Sammamish Rowing Association B,08:00.089
35,,"Womens Masters Club Champ Thalia Kelly Considine Cup Heat 1 1­4 to F1, Remainder to F2 (11:44:00) Official",,4,"Lincoln Park Boat Club (Miller, A.)",07:56.875
35,,"Womens Masters Club Champ Thalia Kelly Considine Cup Heat 1 1­4 to F1, Remainder to F2 (11:44:00) Official",,5,Union,08:00.225
35,,"Womens Masters Club Champ Thalia Kelly Considine Cup Heat 1 1­4 to F1, Remainder to F2 (11:44:00) Official",,6,Pocock,08:31.159
35,,"Womens Masters Club Champ Thalia Kelly Considine Cup Heat 1 1­4 to F1, Remainder to F2 (11:44:00) Official",,7,Martha's Moms,08:51.357
35,,"Womens Masters Club Champ Thalia Kelly Considine Cup Heat 1 1­4 to F1, Remainder to F2 (11:44:00) Official",,8,Sammamish Rowing Association A,08:28.585
35,,"Womens Masters Club Champ Thalia Kelly Considine Cup Heat 1 1­4 to F1, Remainder to F2 (11:44:00) Official",,,,
36,,Womens Masters Club Champ Thalia Kelly Considine Cup Heat 2 (11:52:00) Official,,1,"Portland BC (Linse, J.)",08:18.222
36,,Womens Masters Club Champ Thalia Kelly Considine Cup Heat 2 (11:52:00) Official,,2,"College Club Seattle (Scull, C.)",07:40.720
36,,Womens Masters Club Champ Thalia Kelly Considine Cup Heat 2 (11:52:00) Official,,3,Potomac,07:46.408
36,,Womens Masters Club Champ Thalia Kelly Considine Cup Heat 2 (11:52:00) Official,,4,"Los Gatos (Der Haar, E.)",07:56.786
36,,Womens Masters Club Champ Thalia Kelly Considine Cup Heat 2 (11:52:00) Official,,5,"Newport (Mather, V.)",08:11.824
36,,Womens Masters Club Champ Thalia Kelly Considine Cup Heat 2 (11:52:00) Official,,6,"Lake Union (Hobart, M.)",08:10.740
36,,Womens Masters Club Champ Thalia Kelly Considine Cup Heat 2 (11:52:00) Official,,7,"San Diego RC (Dinsdale, E.)",08:38.982
36,,Womens Masters Club Champ Thalia Kelly Considine Cup Heat 2 (11:52:00) Official,,8,"Lake Las Vegas Rowing Club (Stanley, T.)",08:35.704
36,,Womens Masters Club Champ Thalia Kelly Considine Cup Heat 2 (11:52:00) Official,,,,
37,,Mens Open Heat 1 All to F1 (12:00:00) Official,,1,California A,06:17.691
37,,Mens Open Heat 1 All to F1 (12:00:00) Official,,2,California B,06:24.897
37,,Mens Open Heat 1 All to F1 (12:00:00) Official,,3,Potomac,06:38.545
37,,Mens Open Heat 1 All to F1 (12:00:00) Official,,4,UC San Diego,07:03.299
37,,Mens Open Heat 1 All to F1 (12:00:00) Official,,5,UC Davis,07:03.341
37,,Mens Open Heat 1 All to F1 (12:00:00) Official,,6,Southern California,07:33.143
37,,Mens Open Heat 1 All to F1 (12:00:00) Official,,,,
38,,Womens Open Carley Copley Cup Heat 1 All to F1 (12:08:00) Official,,1,"Washington (Skov, L.)",06:56.804
38,,Womens Open Carley Copley Cup Heat 1 All to F1 (12:08:00) Official,,2,Stanford - Women,07:02.300
38,,Womens Open Carley Copley Cup Heat 1 All to F1 (12:08:00) Official,,3,Potomac,07:10.122
38,,Womens Open Carley Copley Cup Heat 1 All to F1 (12:08:00) Official,,4,SDSU,07:54.044
38,,Womens Open Carley Copley Cup Heat 1 All to F1 (12:08:00) Official,,,,
39,,Womens Open Carley Copley Cup Heat 2 (12:16:00) Official,,1,California,07:04.069
39,,Womens Open Carley Copley Cup Heat 2 (12:16:00) Official,,2,"Stanford Lightweight Women (Smythe, C.)",07:05.301
39,,Womens Open Carley Copley Cup Heat 2 (12:16:00) Official,,3,U of Calgary RC,07:38.485
39,,Womens Open Carley Copley Cup Heat 2 (12:16:00) Official,,,,
40,,FREEDOM ROWS Final 1 (12:44:00) Official,,,,
41,,PARA (46A & 46C) (12:54:00) Official,,1,"Freedom Rows USA (46C) (Kosar, D.)",07:51.745
41,,PARA (46A & 46C) (12:54:00) Official,,2,"Freedom Rows USA (46A) (Martini, J.)",08:53.693
41,,PARA (46A & 46C) (12:54:00) Official,,3,"Freedom Rows USA (46C) (Qualls, J.)",09:18.779
41,,PARA (46A & 46C) (12:54:00) Official,,4,"Freedom Rows USA (46A) (Woodbury, D.)",09:38.265
41,,PARA (46A & 46C) (12:54:00) Official,,5,"Freedom Rows USA (46A) (Nedrow, M.)",10:26.323
41,,PARA (46A & 46C) (12:54:00) Official,,6,"Freedom Rows USA (46C) (Campbell, R.)",12:37.783
41,,PARA (46A & 46C) (12:54:00) Official,,,,
42,,PARA (46B & 46E) (13:06:00) Official,,1,"Freedom Rows USA (46E) (Hurley, P.)",10:21.427
42,,PARA (46B & 46E) (13:06:00) Official,,2,"Freedom Rows USA (46B) (Liu, D.)",10:54.697
42,,PARA (46B & 46E) (13:06:00) Official,,3,"Freedom Rows USA (46E) (Barbee, W.)",12:24.189
42,,PARA (46B & 46E) (13:06:00) Official,,4,"Freedom Rows USA (46B) (Balcom, D.)",12:40.051
42,,PARA (46B & 46E) (13:06:00) Official,,,,
43,,"PARA (46D, 46F, 46G, & 46H) (13:18:00) Official",,1,"Freedom Rows USA (46H) (Gernaat, R.)",10:12.199
43,,"PARA (46D, 46F, 46G, & 46H) (13:18:00) Official",,2,"Freedom Rows USA (46G) (Martinez, K.)",10:58.867
43,,"PARA (46D, 46F, 46G, & 46H) (13:18:00) Official",,3,"Freedom Rows USA (46H) (Kingdon, K.)",11:00.567
43,,"PARA (46D, 46F, 46G, & 46H) (13:18:00) Official",,4,"Freedom Rows USA (46G) (Nugent, P.)",11:44.477
43,,"PARA (46D, 46F, 46G, & 46H) (13:18:00) Official",,5,"Freedom Rows USA (46F) (Bonitz, R.)",12:19.499
43,,"PARA (46D, 46F, 46G, & 46H) (13:18:00) Official",,6,"Freedom Rows USA (46D) (Willingham, A.)",14:41.813
43,,"PARA (46D, 46F, 46G, & 46H) (13:18:00) Official",,7,"Freedom Rows (46D) (Barthelemy, T.)",16:30.263
43,,"PARA (46D, 46F, 46G, & 46H) (13:18:00) Official",,,,
44,,"Mens HS Varsity Heat 1 1­2 to F1, 3­4 to F2, 5­6 to F3 (13:30:00) Official",,1,"Newport (Ruiz, P.)",06:22.385
44,,"Mens HS Varsity Heat 1 1­2 to F1, 3­4 to F2, 5­6 to F3 (13:30:00) Official",,2,"Dallas United Crew (Wang, A.)",06:31.843
44,,"Mens HS Varsity Heat 1 1­2 to F1, 3­4 to F2, 5­6 to F3 (13:30:00) Official",,3,Norcal Crew,06:34.697
44,,"Mens HS Varsity Heat 1 1­2 to F1, 3­4 to F2, 5­6 to F3 (13:30:00) Official",,4,"Saugatuck (Schmidt, J.)",06:35.015
44,,"Mens HS Varsity Heat 1 1­2 to F1, 3­4 to F2, 5­6 to F3 (13:30:00) Official",,5,Marina Aquatic Center,06:38.025
44,,"Mens HS Varsity Heat 1 1­2 to F1, 3­4 to F2, 5­6 to F3 (13:30:00) Official",,6,"Lake Las Vegas Rowing Club (Robinson, G.)",07:30.057
44,,"Mens HS Varsity Heat 1 1­2 to F1, 3­4 to F2, 5­6 to F3 (13:30:00) Official",,,,
45,,Mens HS Varsity Heat 2 (13:38:00) Official,,1,Capital (Adam Montoya),06:22.989
45,,Mens HS Varsity Heat 2 (13:38:00) Official,,2,Pacific,06:27.765
45,,Mens HS Varsity Heat 2 (13:38:00) Official,,3,San Diego RC,06:30.059
45,,Mens HS Varsity Heat 2 (13:38:00) Official,,4,Sammamish Rowing Association,06:33.469
45,,Mens HS Varsity Heat 2 (13:38:00) Official,,5,"Los Gatos (Koen, J.)",06:37.235
45,,Mens HS Varsity Heat 2 (13:38:00) Official,,6,Texas Rowing Center,06:49.155
45,,Mens HS Varsity Heat 2 (13:38:00) Official,,,,
46,,Mens HS Varsity Heat 3 (13:46:00) Official,,1,Marin,06:21.800
46,,Mens HS Varsity Heat 3 (13:46:00) Official,,2,Jesuit College Prep of Dallas,06:26.128
46,,Mens HS Varsity Heat 3 (13:46:00) Official,,3,Oakland Strokes,06:29.582
46,,Mens HS Varsity Heat 3 (13:46:00) Official,,4,"Junipero Serra (Maranghi, J.)",06:46.682
46,,Mens HS Varsity Heat 3 (13:46:00) Official,,5,"Belen Jesuit Crew (Sanchez, D.)",06:47.678
46,,Mens HS Varsity Heat 3 (13:46:00) Official,,6,CCHS Crew (Sean Van De Grift),07:02.132
46,,Mens HS Varsity Heat 3 (13:46:00) Official,,,,
47,,"Womens HS Varsity Gilman­Mulliken Cup Heat 1 1­2 to F1, 3­4 to F2, Remainder to F3 (13:54:00) Official",,1,Capital,07:04.994
47,,"Womens HS Varsity Gilman­Mulliken Cup Heat 1 1­2 to F1, 3­4 to F2, Remainder to F3 (13:54:00) Official",,2,Oakland Strokes,07:09.276
47,,"Womens HS Varsity Gilman­Mulliken Cup Heat 1 1­2 to F1, 3­4 to F2, Remainder to F3 (13:54:00) Official",,3,Newport,07:11.026
47,,"Womens HS Varsity Gilman­Mulliken Cup Heat 1 1­2 to F1, 3­4 to F2, Remainder to F3 (13:54:00) Official",,4,Long Beach Junior Crew,07:21.184
47,,"Womens HS Varsity Gilman­Mulliken Cup Heat 1 1­2 to F1, 3­4 to F2, Remainder to F3 (13:54:00) Official",,5,North Bay,07:24.880
47,,"Womens HS Varsity Gilman­Mulliken Cup Heat 1 1­2 to F1, 3­4 to F2, Remainder to F3 (13:54:00) Official",,6,Norcal Crew,07:27.590
47,,"Womens HS Varsity Gilman­Mulliken Cup Heat 1 1­2 to F1, 3­4 to F2, Remainder to F3 (13:54:00) Official",,7,Texas Rowing Center,07:37.318
47,,"Womens HS Varsity Gilman­Mulliken Cup Heat 1 1­2 to F1, 3­4 to F2, Remainder to F3 (13:54:00) Official",,,,
48,,Womens HS Varsity Gilman­Mulliken Cup Heat 2 (14:02:00) Official,,1,Saugatuck (Caitlin Esse),07:01.749
48,,Womens HS Varsity Gilman­Mulliken Cup Heat 2 (14:02:00) Official,,2,Marina Aquatic Center,07:10.735
48,,Womens HS Varsity Gilman­Mulliken Cup Heat 2 (14:02:00) Official,,3,"Sammamish Rowing Association (Harder, K.)",07:11.539
48,,Womens HS Varsity Gilman­Mulliken Cup Heat 2 (14:02:00) Official,,4,"Dallas United Crew (Craycroft, R.)",07:17.259
48,,Womens HS Varsity Gilman­Mulliken Cup Heat 2 (14:02:00) Official,,5,Los Gatos,07:28.131
48,,Womens HS Varsity Gilman­Mulliken Cup Heat 2 (14:02:00) Official,,6,"River City (Sobrato, A.)",07:42.461
48,,Womens HS Varsity Gilman­Mulliken Cup Heat 2 (14:02:00) Official,,7,"CCHS Crew (Wright, R.)",08:01.217
48,,Womens HS Varsity Gilman­Mulliken Cup Heat 2 (14:02:00) Official,,,,
49,,Womens HS Varsity Gilman­Mulliken Cup Heat 3 (14:10:00) Official,,1,Marin,07:07.938
49,,Womens HS Varsity Gilman­Mulliken Cup Heat 3 (14:10:00) Official,,2,Connecticut,07:12.426
49,,Womens HS Varsity Gilman­Mulliken Cup Heat 3 (14:10:00) Official,,3,OKC Riversport,07:22.438
49,,Womens HS Varsity Gilman­Mulliken Cup Heat 3 (14:10:00) Official,,4,Pacific,07:27.794
49,,Womens HS Varsity Gilman­Mulliken Cup Heat 3 (14:10:00) Official,,5,San Diego RC,07:33.208
49,,Womens HS Varsity Gilman­Mulliken Cup Heat 3 (14:10:00) Official,,6,Newport Sea Base Rowing (Skylar Fletcher),07:39.122
49,,Womens HS Varsity Gilman­Mulliken Cup Heat 3 (14:10:00) Official,,,,
50,,"Womens HS JV ZLAC Rowing Club Cup Heat 1 1­4 to F1, Remainder to F2 (14:18:00) Official",,1,Capital (Alison Bradus),07:28.354
50,,"Womens HS JV ZLAC Rowing Club Cup Heat 1 1­4 to F1, Remainder to F2 (14:18:00) Official",,2,Marina Aquatic Center,07:33.310
50,,"Womens HS JV ZLAC Rowing Club Cup Heat 1 1­4 to F1, Remainder to F2 (14:18:00) Official",,3,Newport,07:35.376
50,,"Womens HS JV ZLAC Rowing Club Cup Heat 1 1­4 to F1, Remainder to F2 (14:18:00) Official",,4,Pacific,07:42.214
50,,"Womens HS JV ZLAC Rowing Club Cup Heat 1 1­4 to F1, Remainder to F2 (14:18:00) Official",,5,Los Gatos,07:46.190
50,,"Womens HS JV ZLAC Rowing Club Cup Heat 1 1­4 to F1, Remainder to F2 (14:18:00) Official",,6,San Diego RC,07:57.036
50,,"Womens HS JV ZLAC Rowing Club Cup Heat 1 1­4 to F1, Remainder to F2 (14:18:00) Official",,7,Dallas United Crew (Anna Savant),08:10.978
50,,"Womens HS JV ZLAC Rowing Club Cup Heat 1 1­4 to F1, Remainder to F2 (14:18:00) Official",,,,
51,,Womens HS JV ZLAC Rowing Club Cup Heat 2 (14:26:00) Official,,1,Saugatuck,07:23.678
51,,Womens HS JV ZLAC Rowing Club Cup Heat 2 (14:26:00) Official,,2,"Sammamish Rowing Association (Lalor, A.)",07:26.678
51,,Womens HS JV ZLAC Rowing Club Cup Heat 2 (14:26:00) Official,,3,Marin,07:30.256
51,,Womens HS JV ZLAC Rowing Club Cup Heat 2 (14:26:00) Official,,4,Norcal Crew (Jillian Montulli),07:43.774
51,,Womens HS JV ZLAC Rowing Club Cup Heat 2 (14:26:00) Official,,5,OKC Riversport,08:05.290
51,,Womens HS JV ZLAC Rowing Club Cup Heat 2 (14:26:00) Official,,6,"River City (Rowe, F.)",08:09.612
51,,Womens HS JV ZLAC Rowing Club Cup Heat 2 (14:26:00) Official,,7,Long Beach Junior Crew,08:36.242
51,,Womens HS JV ZLAC Rowing Club Cup Heat 2 (14:26:00) Official,,8,ZLAC,09:47.320
51,,Womens HS JV ZLAC Rowing Club Cup Heat 2 (14:26:00) Official,,,,
52,,"Mens HS JV Jean Jessop Hervey Cup Heat 1 1­4 to F1, Remainder to F2 (14:34:00) Official",,1,"Newport A (Smith, A.)",06:34.563
52,,"Mens HS JV Jean Jessop Hervey Cup Heat 1 1­4 to F1, Remainder to F2 (14:34:00) Official",,2,Oakland Strokes,06:40.075
52,,"Mens HS JV Jean Jessop Hervey Cup Heat 1 1­4 to F1, Remainder to F2 (14:34:00) Official",,3,Pacific,06:50.917
52,,"Mens HS JV Jean Jessop Hervey Cup Heat 1 1­4 to F1, Remainder to F2 (14:34:00) Official",,4,Jesuit College Prep of Dallas,06:51.385
52,,"Mens HS JV Jean Jessop Hervey Cup Heat 1 1­4 to F1, Remainder to F2 (14:34:00) Official",,5,Los Gatos,06:57.487
52,,"Mens HS JV Jean Jessop Hervey Cup Heat 1 1­4 to F1, Remainder to F2 (14:34:00) Official",,6,Sammamish Rowing Association,06:58.479
52,,"Mens HS JV Jean Jessop Hervey Cup Heat 1 1­4 to F1, Remainder to F2 (14:34:00) Official",,7,"Dallas United Crew (McNeill, D.)",06:58.957
52,,"Mens HS JV Jean Jessop Hervey Cup Heat 1 1­4 to F1, Remainder to F2 (14:34:00) Official",,,,
53,,Mens HS JV Jean Jessop Hervey Cup Heat 2 (14:42:00) Official,,1,Marin,06:37.506
53,,Mens HS JV Jean Jessop Hervey Cup Heat 2 (14:42:00) Official,,2,Capital,06:38.920
53,,Mens HS JV Jean Jessop Hervey Cup Heat 2 (14:42:00) Official,,3,Norcal Crew,06:53.024
53,,Mens HS JV Jean Jessop Hervey Cup Heat 2 (14:42:00) Official,,4,"Saugatuck (Andrade, E.)",06:55.810
53,,Mens HS JV Jean Jessop Hervey Cup Heat 2 (14:42:00) Official,,5,"Newport B (Schweich, A.)",06:56.866
53,,Mens HS JV Jean Jessop Hervey Cup Heat 2 (14:42:00) Official,,6,Marina Aquatic Center,07:03.292
53,,Mens HS JV Jean Jessop Hervey Cup Heat 2 (14:42:00) Official,,7,San Diego RC,07:29.580
53,,Mens HS JV Jean Jessop Hervey Cup Heat 2 (14:42:00) Official,,8,"CCHS Crew (Santos, L.)",09:21.386
53,,Mens HS JV Jean Jessop Hervey Cup Heat 2 (14:42:00) Official,,,,
54,,"Mens HS Ltwt Shimano Rowing Dynamics Cup Heat 1 1­4 to F1, Remainder to F2 (14:50:00) Official",,1,"Belen Jesuit Crew (Rodriguez, J.)",06:37.306
54,,"Mens HS Ltwt Shimano Rowing Dynamics Cup Heat 1 1­4 to F1, Remainder to F2 (14:50:00) Official",,2,Marin,06:39.516
54,,"Mens HS Ltwt Shimano Rowing Dynamics Cup Heat 1 1­4 to F1, Remainder to F2 (14:50:00) Official",,3,Long Beach Junior Crew,06:52.362
54,,"Mens HS Ltwt Shimano Rowing Dynamics Cup Heat 1 1­4 to F1, Remainder to F2 (14:50:00) Official",,4,"Newport B (Yoder, G.)",06:55.226
54,,"Mens HS Ltwt Shimano Rowing Dynamics Cup Heat 1 1­4 to F1, Remainder to F2 (14:50:00) Official",,5,Capital,07:11.440
54,,"Mens HS Ltwt Shimano Rowing Dynamics Cup Heat 1 1­4 to F1, Remainder to F2 (14:50:00) Official",,6,"Dallas United Crew (Isom, H.)",07:16.406
54,,"Mens HS Ltwt Shimano Rowing Dynamics Cup Heat 1 1­4 to F1, Remainder to F2 (14:50:00) Official",,7,OKC Riversport,07:17.886
54,,"Mens HS Ltwt Shimano Rowing Dynamics Cup Heat 1 1­4 to F1, Remainder to F2 (14:50:00) Official",,,,
55,,Mens HS Ltwt Shimano Rowing Dynamics Cup Heat 2 (14:58:00) Official,,1,"Newport A (McDonald, A.)",06:45.275
55,,Mens HS Ltwt Shimano Rowing Dynamics Cup Heat 2 (14:58:00) Official,,2,Oakland Strokes,06:49.215
55,,Mens HS Ltwt Shimano Rowing Dynamics Cup Heat 2 (14:58:00) Official,,3,New Canaan Crew,06:52.215
55,,Mens HS Ltwt Shimano Rowing Dynamics Cup Heat 2 (14:58:00) Official,,4,Norcal Crew,06:55.543
55,,Mens HS Ltwt Shimano Rowing Dynamics Cup Heat 2 (14:58:00) Official,,5,San Diego RC,07:04.411
55,,Mens HS Ltwt Shimano Rowing Dynamics Cup Heat 2 (14:58:00) Official,,6,Los Gatos,07:23.733
55,,Mens HS Ltwt Shimano Rowing Dynamics Cup Heat 2 (14:58:00) Official,,7,"Lake Las Vegas Rowing Club (Barnes, B.)",07:54.503
55,,Mens HS Ltwt Shimano Rowing Dynamics Cup Heat 2 (14:58:00) Official,,,,
56,,Womens HS Ltwt Heat 1 All to F1 (15:06:00) Official,,1,Marin,07:25.761
56,,Womens HS Ltwt Heat 1 All to F1 (15:06:00) Official,,2,Newport,07:27.863
56,,Womens HS Ltwt Heat 1 All to F1 (15:06:00) Official,,3,Capital,07:30.387
56,,Womens HS Ltwt Heat 1 All to F1 (15:06:00) Official,,4,Oakland Strokes,07:33.273
56,,Womens HS Ltwt Heat 1 All to F1 (15:06:00) Official,,5,San Diego RC,07:45.729
56,,Womens HS Ltwt Heat 1 All to F1 (15:06:00) Official,,6,Long Beach Junior Crew,07:55.619
56,,Womens HS Ltwt Heat 1 All to F1 (15:06:00) Official,,7,"City Island (Rauschnabel, L.)",08:28.811
56,,Womens HS Ltwt Heat 1 All to F1 (15:06:00) Official,,,,
57,,Mens Masters F+ (60+) Final 1 (15:14:00) Official,,1,"Cambridge (Lesnau, R.)",07:18.664
57,,Mens Masters F+ (60+) Final 1 (15:14:00) Official,,2,"Long Beach (Bater, B.)",07:24.250
57,,Mens Masters F+ (60+) Final 1 (15:14:00) Official,,3,"Rocky Mountain (Springer, G.)",07:33.270
57,,Mens Masters F+ (60+) Final 1 (15:14:00) Official,,4,Chinook,07:34.232
57,,Mens Masters F+ (60+) Final 1 (15:14:00) Official,,5,San Diego RC,07:39.334
57,,Mens Masters F+ (60+) Final 1 (15:14:00) Official,,6,San Diego RC (Treacy Sommer),07:36.866
57,,Mens Masters F+ (60+) Final 1 (15:14:00) Official,,7,"Kent Mitchell (Ives, E.)",08:21.476
57,,Mens Masters F+ (60+) Final 1 (15:14:00) Official,,,,
58,,Womens Masters F+ Campland on the Bay Trophy (60+ Final 1 (15:22:00) Official,,1,"Long Beach (Malacrida, G.)",08:05.819
58,,Womens Masters F+ Campland on the Bay Trophy (60+ Final 1 (15:22:00) Official,,2,"Chinook (Davis, D.)",08:13.149
58,,Womens Masters F+ Campland on the Bay Trophy (60+ Final 1 (15:22:00) Official,,3,"Portland BC (Linse, J.)",08:28.819
58,,Womens Masters F+ Campland on the Bay Trophy (60+ Final 1 (15:22:00) Official,,4,East Bay,08:30.709
58,,Womens Masters F+ Campland on the Bay Trophy (60+ Final 1 (15:22:00) Official,,5,Martha's Moms,08:37.335
58,,Womens Masters F+ Campland on the Bay Trophy (60+ Final 1 (15:22:00) Official,,6,Newport,10:15.323
58,,Womens Masters F+ Campland on the Bay Trophy (60+ Final 1 (15:22:00) Official,,,,
59,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 3 (15:30:00) Official,,1,San Diego,07:23.066
59,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 3 (15:30:00) Official,,2,Drexel,07:28.330
59,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 3 (15:30:00) Official,,3,Fordham,07:40.832
59,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 3 (15:30:00) Official,,4,Saint Marys (CA),07:49.279
59,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 3 (15:30:00) Official,,5,UC San Diego,08:01.415
59,,Womens Collegiate 2V Jackie Ann Stitt Hungness Trophy Final 3 (15:30:00) Official,,,,
60,,Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Final 3 (15:38:00) Official,,1,Sacramento State,08:28.636
60,,Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Final 3 (15:38:00) Official,,2,UC San Diego,08:29.154
60,,Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Final 3 (15:38:00) Official,,3,Saint Marys (CA),08:47.902
60,,Womens Collegiate Varsity 4+ Karen Plumleigh Cortney Cup Final 3 (15:38:00) Official,,,,
61,,"Womens Alumni Prudential, Dunn REALTORS Cup** Final 2 (15:46:00) Cancelled",,,,
62,,"Womens Alumni Prudential, Dunn REALTORS Cup** Final 1 (15:54:00) Official",,1,Brown Women,07:31.220
62,,"Womens Alumni Prudential, Dunn REALTORS Cup** Final 1 (15:54:00) Official",,2,"Radcliffe Alumnae (Pearson, S.)",07:42.156
62,,"Womens Alumni Prudential, Dunn REALTORS Cup** Final 1 (15:54:00) Official",,3,San Diego B,07:42.466
62,,"Womens Alumni Prudential, Dunn REALTORS Cup** Final 1 (15:54:00) Official",,4,Stanford Lightweight Women,07:42.486
62,,"Womens Alumni Prudential, Dunn REALTORS Cup** Final 1 (15:54:00) Official",,5,Fat Cat,07:51.354
62,,"Womens Alumni Prudential, Dunn REALTORS Cup** Final 1 (15:54:00) Official",,6,"UCSB Alumni (Lewis, S.)",08:27.938
62,,"Womens Alumni Prudential, Dunn REALTORS Cup** Final 1 (15:54:00) Official",,,,
63,,Mens Alumni Cup Final 2 (16:02:00) Official,,1,"Long Beach State Rowing (McCrea, S.)",07:29.437
63,,Mens Alumni Cup Final 2 (16:02:00) Official,,2,Isla Vista,07:30.573
63,,Mens Alumni Cup Final 2 (16:02:00) Official,,,,
64,,Mens Alumni Cup Final 1 (16:10:00) Official,,1,"Fat Cat (Kwan, J.)",06:34.701
64,,Mens Alumni Cup Final 1 (16:10:00) Official,,2,"FriendsofCaliforniaMen'sCrew (Guregian, N.)",06:34.917
64,,Mens Alumni Cup Final 1 (16:10:00) Official,,3,Club Nautico De San Juan,06:45.705
64,,Mens Alumni Cup Final 1 (16:10:00) Official,,4,"FriendsofCaliforniaMen'sCrew (Kader, C.)",06:47.841
64,,Mens Alumni Cup Final 1 (16:10:00) Official,,5,Isla Vista,06:48.387
64,,Mens Alumni Cup Final 1 (16:10:00) Official,,6,UCLA,07:12.727
64,,Mens Alumni Cup Final 1 (16:10:00) Official,,7,UC San Diego,07:22.269
64,,Mens Alumni Cup Final 1 (16:10:00) Official,,8,"USC (Evans, C.)",07:34.575
64,,Mens Alumni Cup Final 1 (16:10:00) Official,,,,
65,,Mens HS Varsity Final 3 (16:18:00) Official,,1,Marina Aquatic Center,06:46.825
65,,Mens HS Varsity Final 3 (16:18:00) Official,,2,"Los Gatos (Koen, J.)",06:52.801
65,,Mens HS Varsity Final 3 (16:18:00) Official,,3,Texas Rowing Center,07:01.829
65,,Mens HS Varsity Final 3 (16:18:00) Official,,4,"Belen Jesuit Crew (Sanchez, D.)",07:07.569
65,,Mens HS Varsity Final 3 (16:18:00) Official,,5,CCHS Crew (Sean Van De Grift),07:11.961
65,,Mens HS Varsity Final 3 (16:18:00) Official,,6,"Lake Las Vegas Rowing Club (Robinson, G.)",07:20.611
65,,Mens HS Varsity Final 3 (16:18:00) Official,,,,
66,,Womens HS Varsity Gilman­Mulliken Cup Final 3 (16:26:00) Official,,1,North Bay,07:29.000
66,,Womens HS Varsity Gilman­Mulliken Cup Final 3 (16:26:00) Official,,2,Los Gatos,07:31.406
66,,Womens HS Varsity Gilman­Mulliken Cup Final 3 (16:26:00) Official,,3,San Diego RC,07:37.666
66,,Womens HS Varsity Gilman­Mulliken Cup Final 3 (16:26:00) Official,,4,Norcal Crew,07:42.010
66,,Womens HS Varsity Gilman­Mulliken Cup Final 3 (16:26:00) Official,,5,Newport Sea Base Rowing (Skylar Fletcher),07:43.112
66,,Womens HS Varsity Gilman­Mulliken Cup Final 3 (16:26:00) Official,,6,"River City (Sobrato, A.)",07:49.178
66,,Womens HS Varsity Gilman­Mulliken Cup Final 3 (16:26:00) Official,,7,Texas Rowing Center,07:55.206
66,,Womens HS Varsity Gilman­Mulliken Cup Final 3 (16:26:00) Official,,8,"CCHS Crew (Wright, R.)",08:22.616
66,,Womens HS Varsity Gilman­Mulliken Cup Final 3 (16:26:00) Official,,,,
67,,Womens Varsity High School 4x Final 2 (07:20:00) Official,,1,"New Canaan Crew B (Moor, O.)",07:42.218
67,,Womens Varsity High School 4x Final 2 (07:20:00) Official,,2,"ZLAC (rower, C.)",07:48.400
67,,Womens Varsity High School 4x Final 2 (07:20:00) Official,,3,Texas Rowing Center (Raiya Myren),07:49.698
67,,Womens Varsity High School 4x Final 2 (07:20:00) Official,,4,"Lake Las Vegas Rowing Club (Schulz, M.)",07:53.756
67,,Womens Varsity High School 4x Final 2 (07:20:00) Official,,5,"Utah (Koutrouba, S.)",07:57.654
67,,Womens Varsity High School 4x Final 2 (07:20:00) Official,,6,"City Island B (Fremont-Smith, M.)",08:05.944
67,,Womens Varsity High School 4x Final 2 (07:20:00) Official,,,,
68,,Womens Varsity High School 4x Final 1 (07:28:00) Official,,1,"Redwood Scullers A (Mead, H.)",07:17.518
68,,Womens Varsity High School 4x Final 1 (07:28:00) Official,,2,"Redwood Scullers B (Schwartz, A.)",07:27.614
68,,Womens Varsity High School 4x Final 1 (07:28:00) Official,,3,New Canaan Crew A (Josephine Williams),07:28.752
68,,Womens Varsity High School 4x Final 1 (07:28:00) Official,,4,"Newport Sea Base Rowing (Anderson, K.)",07:30.624
68,,Womens Varsity High School 4x Final 1 (07:28:00) Official,,5,"Artemis (Gallagher, M.)",07:39.770
68,,Womens Varsity High School 4x Final 1 (07:28:00) Official,,6,"City Island A (Kehm, A.)",07:43.346
68,,Womens Varsity High School 4x Final 1 (07:28:00) Official,,7,"RowLA (Trendel, A.)",07:50.788
68,,Womens Varsity High School 4x Final 1 (07:28:00) Official,,8,"Redwood Scullers C (Duan, C.)",07:51.360
68,,Womens Varsity High School 4x Final 1 (07:28:00) Official,,,,
69,,Mens Varsity High School 4x Final 2 (07:36:00) Official,,1,"Dallas United Crew (Schweizer, A.)",06:37.057
